"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","38929902","","","","0"
"2022","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1881099","","","","0"
"2022","Canada","2016A000011124","Both sexes","0 years","Persons","249","units","0","v466719","1.1.2","368637","","","","0"
"2022","Canada","2016A000011124","Both sexes","1 year","Persons","249","units","0","v466752","1.1.3","363962","","","","0"
"2022","Canada","2016A000011124","Both sexes","2 years","Persons","249","units","0","v466785","1.1.4","375409","","","","0"
"2022","Canada","2016A000011124","Both sexes","3 years","Persons","249","units","0","v466818","1.1.5","381812","","","","0"
"2022","Canada","2016A000011124","Both sexes","4 years","Persons","249","units","0","v466851","1.1.6","391279","","","","0"
"2022","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2062572","","","","0"
"2022","Canada","2016A000011124","Both sexes","5 years","Persons","249","units","0","v466917","1.1.8","400703","","","","0"
"2022","Canada","2016A000011124","Both sexes","6 years","Persons","249","units","0","v466950","1.1.9","410034","","","","0"
"2022","Canada","2016A000011124","Both sexes","7 years","Persons","249","units","0","v466671","1.1.10","414410","","","","0"
"2022","Canada","2016A000011124","Both sexes","8 years","Persons","249","units","0","v466692","1.1.11","417054","","","","0"
"2022","Canada","2016A000011124","Both sexes","9 years","Persons","249","units","0","v466695","1.1.12","420371","","","","0"
"2022","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2126905","","","","0"
"2022","Canada","2016A000011124","Both sexes","10 years","Persons","249","units","0","v466701","1.1.14","421867","","","","0"
"2022","Canada","2016A000011124","Both sexes","11 years","Persons","249","units","0","v466704","1.1.15","420405","","","","0"
"2022","Canada","2016A000011124","Both sexes","12 years","Persons","249","units","0","v466707","1.1.16","427630","","","","0"
"2022","Canada","2016A000011124","Both sexes","13 years","Persons","249","units","0","v466710","1.1.17","428824","","","","0"
"2022","Canada","2016A000011124","Both sexes","14 years","Persons","249","units","0","v466713","1.1.18","428179","","","","0"
"2022","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2124972","","","","0"
"2022","Canada","2016A000011124","Both sexes","15 years","Persons","249","units","0","v466722","1.1.20","418765","","","","0"
"2022","Canada","2016A000011124","Both sexes","16 years","Persons","249","units","0","v466725","1.1.21","412727","","","","0"
"2022","Canada","2016A000011124","Both sexes","17 years","Persons","249","units","0","v466728","1.1.22","412007","","","","0"
"2022","Canada","2016A000011124","Both sexes","18 years","Persons","249","units","0","v466731","1.1.23","428221","","","","0"
"2022","Canada","2016A000011124","Both sexes","19 years","Persons","249","units","0","v466734","1.1.24","453252","","","","0"
"2022","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2520278","","","","0"
"2022","Canada","2016A000011124","Both sexes","20 years","Persons","249","units","0","v466740","1.1.26","476692","","","","0"
"2022","Canada","2016A000011124","Both sexes","21 years","Persons","249","units","0","v466743","1.1.27","495224","","","","0"
"2022","Canada","2016A000011124","Both sexes","22 years","Persons","249","units","0","v466746","1.1.28","513830","","","","0"
"2022","Canada","2016A000011124","Both sexes","23 years","Persons","249","units","0","v466749","1.1.29","513621","","","","0"
"2022","Canada","2016A000011124","Both sexes","24 years","Persons","249","units","0","v466755","1.1.30","520911","","","","0"
"2022","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2703647","","","","0"
"2022","Canada","2016A000011124","Both sexes","25 years","Persons","249","units","0","v466761","1.1.32","526547","","","","0"
"2022","Canada","2016A000011124","Both sexes","26 years","Persons","249","units","0","v466764","1.1.33","538973","","","","0"
"2022","Canada","2016A000011124","Both sexes","27 years","Persons","249","units","0","v466767","1.1.34","544980","","","","0"
"2022","Canada","2016A000011124","Both sexes","28 years","Persons","249","units","0","v466770","1.1.35","543672","","","","0"
"2022","Canada","2016A000011124","Both sexes","29 years","Persons","249","units","0","v466773","1.1.36","549475","","","","0"
"2022","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2782998","","","","0"
"2022","Canada","2016A000011124","Both sexes","30 years","Persons","249","units","0","v466779","1.1.38","556107","","","","0"
"2022","Canada","2016A000011124","Both sexes","31 years","Persons","249","units","0","v466782","1.1.39","565247","","","","0"
"2022","Canada","2016A000011124","Both sexes","32 years","Persons","249","units","0","v466788","1.1.40","568322","","","","0"
"2022","Canada","2016A000011124","Both sexes","33 years","Persons","249","units","0","v466791","1.1.41","552646","","","","0"
"2022","Canada","2016A000011124","Both sexes","34 years","Persons","249","units","0","v466794","1.1.42","540676","","","","0"
"2022","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2718849","","","","0"
"2022","Canada","2016A000011124","Both sexes","35 years","Persons","249","units","0","v466800","1.1.44","541350","","","","0"
"2022","Canada","2016A000011124","Both sexes","36 years","Persons","249","units","0","v466803","1.1.45","549301","","","","0"
"2022","Canada","2016A000011124","Both sexes","37 years","Persons","249","units","0","v466806","1.1.46","547288","","","","0"
"2022","Canada","2016A000011124","Both sexes","38 years","Persons","249","units","0","v466809","1.1.47","543321","","","","0"
"2022","Canada","2016A000011124","Both sexes","39 years","Persons","249","units","0","v466812","1.1.48","537589","","","","0"
"2022","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2573624","","","","0"
"2022","Canada","2016A000011124","Both sexes","40 years","Persons","249","units","0","v466821","1.1.50","531322","","","","0"
"2022","Canada","2016A000011124","Both sexes","41 years","Persons","249","units","0","v466824","1.1.51","526771","","","","0"
"2022","Canada","2016A000011124","Both sexes","42 years","Persons","249","units","0","v466827","1.1.52","518726","","","","0"
"2022","Canada","2016A000011124","Both sexes","43 years","Persons","249","units","0","v466830","1.1.53","503770","","","","0"
"2022","Canada","2016A000011124","Both sexes","44 years","Persons","249","units","0","v466833","1.1.54","493035","","","","0"
"2022","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2405593","","","","0"
"2022","Canada","2016A000011124","Both sexes","45 years","Persons","249","units","0","v466839","1.1.56","489771","","","","0"
"2022","Canada","2016A000011124","Both sexes","46 years","Persons","249","units","0","v466842","1.1.57","486911","","","","0"
"2022","Canada","2016A000011124","Both sexes","47 years","Persons","249","units","0","v466845","1.1.58","484168","","","","0"
"2022","Canada","2016A000011124","Both sexes","48 years","Persons","249","units","0","v466848","1.1.59","473273","","","","0"
"2022","Canada","2016A000011124","Both sexes","49 years","Persons","249","units","0","v466854","1.1.60","471470","","","","0"
"2022","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2423627","","","","0"
