"Data Table: Use of health services for arthritis (annual), Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2000","6.75","6.74","6.76","0.08","1565850","23202175",
"Canada","Both sexes","'20-34'","2000","1.26","1.25","1.26","0.35","80275","6394460",
"Canada","Both sexes","'20-24'","2000","0.80","0.79","0.81","0.78","16510","2058450",
"Canada","Both sexes","'25-29'","2000","1.18","1.17","1.20","0.64","24490","2072995",
"Canada","Both sexes","'30-34'","2000","1.74","1.72","1.75","0.50","39275","2263015",
"Canada","Both sexes","'35-49'","2000","3.77","3.75","3.78","0.19","291715","7747985",
"Canada","Both sexes","'35-39'","2000","2.55","2.53","2.57","0.38","68465","2684240",
"Canada","Both sexes","'40-44'","2000","3.65","3.63","3.67","0.32","97750","2678325",
"Canada","Both sexes","'45-49'","2000","5.26","5.23","5.29","0.28","125505","2385425",
"Canada","Both sexes","'50-64'","2000","9.55","9.52","9.57","0.14","478125","5007690",
"Canada","Both sexes","'50-54'","2000","7.50","7.47","7.54","0.25","158660","2114745",
"Canada","Both sexes","'55-59'","2000","9.93","9.88","9.98","0.25","159615","1607465",
"Canada","Both sexes","'60-64'","2000","12.44","12.37","12.50","0.25","159850","1285480",
"Canada","Both sexes","'65-79'","2000","16.99","16.95","17.04","0.14","513040","3019120",
"Canada","Both sexes","'65-69'","2000","14.83","14.76","14.90","0.24","170440","1149270",
"Canada","Both sexes","'70-74'","2000","17.31","17.23","17.39","0.24","178150","1029350",
"Canada","Both sexes","'75-79'","2000","19.57","19.47","19.66","0.25","164455","840510",
"Canada","Both sexes","'80+'","2000","19.62","19.54","19.71","0.22","202685","1032905",
"Canada","Both sexes","'80-84'","2000","20.35","20.23","20.47","0.30","111065","545765",
"Canada","Both sexes","'85-89'","2000","19.68","19.53","19.84","0.40","62310","316540",
"Canada","Both sexes","'90+'","2000","17.18","16.98","17.37","0.58","29305","170605",
"Canada","Both sexes","'20+'","2001","6.67","6.66","6.68","0.08","1571105","23564715",
"Canada","Both sexes","'20-34'","2001","1.22","1.21","1.23","0.36","78410","6420860",
"Canada","Both sexes","'20-24'","2001","0.78","0.76","0.79","0.79","16205","2087905",
"Canada","Both sexes","'25-29'","2001","1.15","1.13","1.16","0.65","23855","2079060",
"Canada","Both sexes","'30-34'","2001","1.70","1.68","1.72","0.51","38355","2253900",
"Canada","Both sexes","'35-49'","2001","3.73","3.71","3.74","0.19","291155","7814435",
"Canada","Both sexes","'35-39'","2001","2.50","2.49","2.52","0.39","65830","2628045",
"Canada","Both sexes","'40-44'","2001","3.60","3.58","3.62","0.32","98095","2723585",
"Canada","Both sexes","'45-49'","2001","5.17","5.14","5.19","0.28","127230","2462805",
"Canada","Both sexes","'50-64'","2001","9.38","9.36","9.41","0.14","488230","5202505",
"Canada","Both sexes","'50-54'","2001","7.35","7.31","7.38","0.25","157500","2143525",
"Canada","Both sexes","'55-59'","2001","9.76","9.71","9.81","0.24","168470","1726120",
"Canada","Both sexes","'60-64'","2001","12.17","12.11","12.23","0.25","162260","1332860",
"Canada","Both sexes","'65-79'","2001","16.62","16.57","16.66","0.14","505735","3043160",
"Canada","Both sexes","'65-69'","2001","14.52","14.45","14.59","0.24","166800","1148650",
"Canada","Both sexes","'70-74'","2001","16.90","16.82","16.98","0.24","176650","1045370",
"Canada","Both sexes","'75-79'","2001","19.11","19.02","19.20","0.25","162285","849150",
"Canada","Both sexes","'80+'","2001","19.15","19.07","19.24","0.22","207575","1083755",
"Canada","Both sexes","'80-84'","2001","19.84","19.73","19.96","0.30","114685","577970",
"Canada","Both sexes","'85-89'","2001","19.23","19.08","19.38","0.40","62745","326255",
"Canada","Both sexes","'90+'","2001","16.80","16.61","16.99","0.58","30155","179540",
"Canada","Both sexes","'20+'","2002","6.64","6.63","6.65","0.08","1587905","23920685",
"Canada","Both sexes","'20-34'","2002","1.19","1.18","1.20","0.36","76665","6457290",
"Canada","Both sexes","'20-24'","2002","0.74","0.73","0.75","0.80","15735","2119050",
"Canada","Both sexes","'25-29'","2002","1.11","1.10","1.13","0.65","23320","2093565",
"Canada","Both sexes","'30-34'","2002","1.68","1.66","1.69","0.52","37615","2244680",
"Canada","Both sexes","'35-49'","2002","3.69","3.68","3.70","0.19","289710","7848390",
"Canada","Both sexes","'35-39'","2002","2.46","2.45","2.48","0.40","62795","2548145",
"Canada","Both sexes","'40-44'","2002","3.52","3.49","3.54","0.32","97050","2760305",
"Canada","Both sexes","'45-49'","2002","5.11","5.09","5.14","0.28","129870","2539945",
"Canada","Both sexes","'50-64'","2002","9.31","9.28","9.33","0.14","503390","5407915",
"Canada","Both sexes","'50-54'","2002","7.27","7.24","7.31","0.25","158695","2181405",
"Canada","Both sexes","'55-59'","2002","9.66","9.62","9.71","0.24","177230","1834205",
"Canada","Both sexes","'60-64'","2002","12.03","11.97","12.09","0.24","167465","1392300",
"Canada","Both sexes","'65-79'","2002","16.39","16.35","16.44","0.14","504235","3075985",
"Canada","Both sexes","'65-69'","2002","14.36","14.29","14.42","0.25","166320","1158620",
"Canada","Both sexes","'70-74'","2002","16.66","16.58","16.74","0.24","175620","1054030",
"Canada","Both sexes","'75-79'","2002","18.80","18.71","18.89","0.25","162300","863335",
"Canada","Both sexes","'80+'","2002","18.91","18.83","18.99","0.22","213900","1131110",
"Canada","Both sexes","'80-84'","2002","19.67","19.56","19.78","0.29","119655","608420",
"Canada","Both sexes","'85-89'","2002","19.01","18.86","19.15","0.40","63165","332350",
"Canada","Both sexes","'90+'","2002","16.33","16.15","16.51","0.57","31085","190350",
"Canada","Both sexes","'20+'","2003","6.70","6.69","6.71","0.08","1627870","24282275",
"Canada","Both sexes","'20-34'","2003","1.16","1.16","1.17","0.36","75695","6503565",
"Canada","Both sexes","'20-24'","2003","0.72","0.71","0.73","0.80","15455","2155145",
"Canada","Both sexes","'25-29'","2003","1.10","1.08","1.11","0.66","23235","2118950",
"Canada","Both sexes","'30-34'","2003","1.66","1.64","1.68","0.52","37005","2229470",
"Canada","Both sexes","'35-49'","2003","3.66","3.65","3.68","0.19","288015","7865170",
"Canada","Both sexes","'35-39'","2003","2.42","2.40","2.44","0.41","59750","2470205",
"Canada","Both sexes","'40-44'","2003","3.48","3.46","3.50","0.32","97185","2791415",
"Canada","Both sexes","'45-49'","2003","5.03","5.01","5.06","0.28","131080","2603545",
"Canada","Both sexes","'50-64'","2003","9.41","9.38","9.43","0.14","528610","5619770",
"Canada","Both sexes","'50-54'","2003","7.31","7.27","7.34","0.25","163745","2241455",
"Canada","Both sexes","'55-59'","2003","9.76","9.72","9.81","0.23","187730","1923250",
"Canada","Both sexes","'60-64'","2003","12.17","12.12","12.23","0.24","177140","1455070",
"Canada","Both sexes","'65-79'","2003","16.49","16.44","16.53","0.14","513730","3115810",
"Canada","Both sexes","'65-69'","2003","14.50","14.43","14.57","0.24","171400","1182030",
"Canada","Both sexes","'70-74'","2003","16.79","16.71","16.87","0.24","177880","1059270",
"Canada","Both sexes","'75-79'","2003","18.80","18.71","18.90","0.25","164450","874520",
"Canada","Both sexes","'80+'","2003","18.83","18.75","18.91","0.21","221815","1177955",
"Canada","Both sexes","'80-84'","2003","19.63","19.52","19.74","0.28","125040","636995",
"Canada","Both sexes","'85-89'","2003","18.92","18.77","19.06","0.39","64170","339240",
"Canada","Both sexes","'90+'","2003","16.16","15.99","16.34","0.55","32605","201720",
"Canada","Both sexes","'20+'","2004","6.81","6.80","6.82","0.08","1677595","24633790",
