"Data Table: Gout and other crystal arthropathies, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2007","165","163","166","0.49","41320","25108430",
"Canada","Both sexes","'20-34'","2007","31","30","32","2.21","2050","6646505",
"Canada","Both sexes","'20-24'","2007","11","10","12","6.45","240","2210290",
"Canada","Both sexes","'25-29'","2007","28","25","30","4.03","615","2233050",
"Canada","Both sexes","'30-34'","2007","54","51","57","2.89","1195","2203165",
"Canada","Both sexes","'35-49'","2007","101","99","103","1.14","7715","7648655",
"Canada","Both sexes","'35-39'","2007","78","74","81","2.35","1815","2339835",
"Canada","Both sexes","'40-44'","2007","99","95","103","1.98","2550","2576110",
"Canada","Both sexes","'45-49'","2007","123","118","127","1.73","3350","2732710",
"Canada","Both sexes","'50-64'","2007","190","187","194","0.91","12025","6319295",
"Canada","Both sexes","'50-54'","2007","153","149","158","1.62","3810","2483770",
"Canada","Both sexes","'55-59'","2007","189","183","195","1.59","3970","2098735",
"Canada","Both sexes","'60-64'","2007","244","237","252","1.53","4245","1736795",
"Canada","Both sexes","'65-79'","2007","392","385","399","0.89","12545","3201460",
"Canada","Both sexes","'65-69'","2007","328","318","338","1.54","4220","1287905",
"Canada","Both sexes","'70-74'","2007","395","383","408","1.57","4075","1030570",
"Canada","Both sexes","'75-79'","2007","481","467","496","1.53","4250","882985",
"Canada","Both sexes","'80+'","2007","541","528","554","1.20","6990","1292510",
"Canada","Both sexes","'80-84'","2007","546","529","565","1.67","3605","659805",
"Canada","Both sexes","'85-89'","2007","558","535","581","2.12","2230","399955",
"Canada","Both sexes","'90+'","2007","498","470","528","2.94","1160","232750",
"Canada","Both sexes","'20+'","2008","164","163","166","0.49","42450","25839550",
"Canada","Both sexes","'20-34'","2008","31","30","33","2.16","2150","6838645",
"Canada","Both sexes","'20-24'","2008","12","10","13","6.14","265","2262935",
"Canada","Both sexes","'25-29'","2008","28","26","31","3.91","655","2311090",
"Canada","Both sexes","'30-34'","2008","54","51","57","2.85","1230","2264615",
"Canada","Both sexes","'35-49'","2008","101","99","103","1.13","7770","7709525",
"Canada","Both sexes","'35-39'","2008","78","74","81","2.33","1840","2363250",
"Canada","Both sexes","'40-44'","2008","101","97","105","1.98","2555","2541040",
"Canada","Both sexes","'45-49'","2008","120","116","125","1.72","3380","2805240",
"Canada","Both sexes","'50-64'","2008","187","184","190","0.90","12385","6630320",
"Canada","Both sexes","'50-54'","2008","146","141","151","1.63","3770","2584490",
"Canada","Both sexes","'55-59'","2008","190","184","196","1.55","4165","2193825",
"Canada","Both sexes","'60-64'","2008","240","233","247","1.50","4450","1852010",
"Canada","Both sexes","'65-79'","2008","389","382","395","0.88","12905","3320245",
"Canada","Both sexes","'65-69'","2008","312","303","322","1.53","4265","1366355",
"Canada","Both sexes","'70-74'","2008","404","392","416","1.53","4290","1062415",
"Canada","Both sexes","'75-79'","2008","488","474","503","1.52","4350","891475",
"Canada","Both sexes","'80+'","2008","540","527","552","1.18","7235","1340815",
"Canada","Both sexes","'80-84'","2008","536","518","553","1.66","3620","675695",
"Canada","Both sexes","'85-89'","2008","567","545","590","2.04","2410","424905",
"Canada","Both sexes","'90+'","2008","502","474","531","2.88","1205","240215",
"Canada","Both sexes","'20+'","2009","168","166","170","0.48","44035","26220975",
"Canada","Both sexes","'20-34'","2009","32","30","33","2.13","2205","6935445",
"Canada","Both sexes","'20-24'","2009","12","11","14","5.98","280","2295625",
"Canada","Both sexes","'25-29'","2009","29","27","31","3.83","680","2345265",
"Canada","Both sexes","'30-34'","2009","54","51","57","2.83","1245","2294555",
"Canada","Both sexes","'35-49'","2009","104","101","106","1.12","7935","7658570",
"Canada","Both sexes","'35-39'","2009","81","78","85","2.28","1920","2355900",
