"Data Table: Osteoarthritis, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2007","957","953","961","0.21","218095","22800960",
"Canada","Both sexes","'20-34'","2007","111","108","113","1.17","7335","6615735",
"Canada","Both sexes","'20-24'","2007","62","58","65","2.71","1360","2208150",
"Canada","Both sexes","'25-29'","2007","100","96","104","2.12","2215","2223700",
"Canada","Both sexes","'30-34'","2007","172","167","178","1.63","3760","2183875",
"Canada","Both sexes","'35-49'","2007","513","508","518","0.51","38075","7423870",
"Canada","Both sexes","'35-39'","2007","286","279","293","1.23","6590","2305025",
"Canada","Both sexes","'40-44'","2007","474","465","482","0.92","11875","2507680",
"Canada","Both sexes","'45-49'","2007","751","740","761","0.71","19605","2611160",
"Canada","Both sexes","'50-64'","2007","1523","1513","1533","0.34","85380","5606010",
"Canada","Both sexes","'50-54'","2007","1186","1172","1200","0.61","27250","2298060",
"Canada","Both sexes","'55-59'","2007","1592","1574","1611","0.58","29560","1856420",
"Canada","Both sexes","'60-64'","2007","1969","1946","1992","0.59","28580","1451535",
"Canada","Both sexes","'65-79'","2007","2619","2599","2640","0.40","62065","2369480",
"Canada","Both sexes","'65-69'","2007","2288","2259","2318","0.66","23125","1010720",
"Canada","Both sexes","'70-74'","2007","2725","2688","2763","0.70","20605","756015",
"Canada","Both sexes","'75-79'","2007","3042","2998","3086","0.74","18335","602740",
"Canada","Both sexes","'80+'","2007","3212","3172","3252","0.63","25240","785880",
"Canada","Both sexes","'80-84'","2007","3278","3223","3333","0.86","13580","414290",
"Canada","Both sexes","'85-89'","2007","3309","3236","3384","1.13","7800","235695",
"Canada","Both sexes","'90+'","2007","2837","2748","2928","1.61","3855","135885",
"Canada","Both sexes","'20+'","2008","938","934","942","0.21","219455","23398200",
"Canada","Both sexes","'20-34'","2008","110","107","112","1.16","7455","6807865",
"Canada","Both sexes","'20-24'","2008","61","58","65","2.68","1390","2260850",
