"Data Table: Multiple sclerosis, Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2003","0.19","0.19","0.19","0.53","35540","18479275",
"Canada","Both sexes","'20-34'","2003","0.08","0.07","0.08","1.63","3760","5008210",
"Canada","Both sexes","'20-24'","2003","0.02","0.02","0.02","5.50","330","1647000",
"Canada","Both sexes","'25-29'","2003","0.07","0.07","0.08","2.90","1185","1610280",
"Canada","Both sexes","'30-34'","2003","0.13","0.12","0.13","2.11","2245","1750925",
"Canada","Both sexes","'35-49'","2003","0.23","0.23","0.24","0.84","14035","6032245",
"Canada","Both sexes","'35-39'","2003","0.18","0.18","0.19","1.68","3540","1916480",
"Canada","Both sexes","'40-44'","2003","0.23","0.22","0.24","1.42","4930","2142760",
"Canada","Both sexes","'45-49'","2003","0.28","0.27","0.29","1.34","5565","1973000",
"Canada","Both sexes","'50-64'","2003","0.30","0.29","0.30","0.90","12450","4192220",
"Canada","Both sexes","'50-54'","2003","0.31","0.30","0.32","1.39","5200","1686760",
"Canada","Both sexes","'55-59'","2003","0.30","0.29","0.31","1.52","4300","1431280",
"Canada","Both sexes","'60-64'","2003","0.28","0.27","0.29","1.84","2955","1074185",
"Canada","Both sexes","'65-79'","2003","0.19","0.18","0.19","1.52","4345","2335635",
"Canada","Both sexes","'65-69'","2003","0.22","0.21","0.23","2.28","1920","885580",
"Canada","Both sexes","'70-74'","2003","0.17","0.16","0.18","2.74","1335","791210",
"Canada","Both sexes","'75-79'","2003","0.17","0.16","0.18","3.03","1090","658845",
"Canada","Both sexes","'80+'","2003","0.10","0.10","0.11","3.25","945","910970",
"Canada","Both sexes","'80-84'","2003","0.12","0.11","0.13","4.15","580","489855",
"Canada","Both sexes","'85-89'","2003","0.10","0.09","0.12","6.03","275","261980",
"Canada","Both sexes","'90+'","2003","0.06","0.05","0.07","10.54","90","159135",
"Canada","Both sexes","'20+'","2004","0.20","0.20","0.20","0.51","37755","18775210",
"Canada","Both sexes","'20-34'","2004","0.08","0.07","0.08","1.62","3830","5039540",
"Canada","Both sexes","'20-24'","2004","0.02","0.02","0.02","5.35","350","1675305",
"Canada","Both sexes","'25-29'","2004","0.07","0.07","0.08","2.92","1170","1624020",
"Canada","Both sexes","'30-34'","2004","0.13","0.13","0.14","2.08","2305","1740210",
"Canada","Both sexes","'35-49'","2004","0.24","0.24","0.25","0.83","14620","6055775",
"Canada","Both sexes","'35-39'","2004","0.19","0.18","0.20","1.67","3585","1878555",
"Canada","Both sexes","'40-44'","2004","0.24","0.23","0.25","1.39","5160","2158160",
"Canada","Both sexes","'45-49'","2004","0.29","0.28","0.30","1.30","5875","2019060",
"Canada","Both sexes","'50-64'","2004","0.31","0.31","0.32","0.86","13665","4369655",
"Canada","Both sexes","'50-54'","2004","0.32","0.31","0.33","1.33","5625","1745335",
"Canada","Both sexes","'55-59'","2004","0.32","0.31","0.33","1.45","4760","1506430",
"Canada","Both sexes","'60-64'","2004","0.29","0.28","0.30","1.75","3280","1117890",
"Canada","Both sexes","'65-79'","2004","0.20","0.19","0.20","1.47","4615","2364490",
"Canada","Both sexes","'65-69'","2004","0.23","0.22","0.24","2.21","2040","903195",
"Canada","Both sexes","'70-74'","2004","0.19","0.18","0.20","2.60","1475","794775",
"Canada","Both sexes","'75-79'","2004","0.17","0.16","0.18","3.02","1100","666515",
"Canada","Both sexes","'80+'","2004","0.11","0.10","0.12","3.12","1025","945755",
"Canada","Both sexes","'80-84'","2004","0.13","0.12","0.14","3.92","650","503405",
"Canada","Both sexes","'85-89'","2004","0.10","0.09","0.11","6.09","270","273030",
"Canada","Both sexes","'90+'","2004","0.06","0.05","0.08","9.76","105","169320",
"Canada","Both sexes","'20+'","2005","0.21","0.21","0.21","0.50","39820","19112815",
"Canada","Both sexes","'20-34'","2005","0.08","0.07","0.08","1.60","3905","5082485",
"Canada","Both sexes","'20-24'","2005","0.02","0.02","0.02","5.23","365","1706760",
"Canada","Both sexes","'25-29'","2005","0.07","0.07","0.08","2.86","1225","1648095",
"Canada","Both sexes","'30-34'","2005","0.13","0.13","0.14","2.08","2315","1727630",
"Canada","Both sexes","'35-49'","2005","0.25","0.24","0.25","0.82","15005","6097190",
"Canada","Both sexes","'35-39'","2005","0.19","0.19","0.20","1.66","3635","1880690",
"Canada","Both sexes","'40-44'","2005","0.25","0.24","0.25","1.37","5305","2143230",
"Canada","Both sexes","'45-49'","2005","0.29","0.29","0.30","1.28","6065","2073265",
"Canada","Both sexes","'50-64'","2005","0.33","0.32","0.33","0.82","14835","4550330",
"Canada","Both sexes","'50-54'","2005","0.33","0.33","0.34","1.28","6060","1811155",
"Canada","Both sexes","'55-59'","2005","0.33","0.32","0.34","1.39","5185","1580705",
"Canada","Both sexes","'60-64'","2005","0.31","0.30","0.32","1.67","3590","1158465",
"Canada","Both sexes","'65-79'","2005","0.21","0.20","0.21","1.41","4995","2401250",
"Canada","Both sexes","'65-69'","2005","0.25","0.24","0.26","2.09","2280","926470",
"Canada","Both sexes","'70-74'","2005","0.19","0.18","0.20","2.55","1540","797365",
"Canada","Both sexes","'75-79'","2005","0.17","0.16","0.18","2.92","1175","677425",
"Canada","Both sexes","'80+'","2005","0.11","0.10","0.12","3.04","1085","981570",
"Canada","Both sexes","'80-84'","2005","0.13","0.12","0.14","3.91","655","513115",
"Canada","Both sexes","'85-89'","2005","0.11","0.09","0.12","5.73","305","290440",
"Canada","Both sexes","'90+'","2005","0.07","0.06","0.09","8.77","130","178015",
"Canada","Both sexes","'20+'","2006","0.22","0.22","0.22","0.49","41905","19284145",
"Canada","Both sexes","'20-34'","2006","0.08","0.08","0.08","1.59","3960","5097260",
"Canada","Both sexes","'20-24'","2006","0.02","0.02","0.03","5.03","395","1719030",
"Canada","Both sexes","'25-29'","2006","0.07","0.07","0.08","2.87","1215","1668435",
"Canada","Both sexes","'30-34'","2006","0.14","0.13","0.14","2.06","2355","1709795",
"Canada","Both sexes","'35-49'","2006","0.26","0.25","0.26","0.80","15470","6036995",
"Canada","Both sexes","'35-39'","2006","0.20","0.20","0.21","1.63","3785","1863385",
"Canada","Both sexes","'40-44'","2006","0.26","0.25","0.26","1.37","5360","2080910",
"Canada","Both sexes","'45-49'","2006","0.30","0.30","0.31","1.26","6330","2092705",
"Canada","Both sexes","'50-64'","2006","0.34","0.34","0.35","0.79","15965","4691875",
"Canada","Both sexes","'50-54'","2006","0.35","0.34","0.35","1.25","6420","1857890",
"Canada","Both sexes","'55-59'","2006","0.35","0.34","0.35","1.35","5495","1589955",
"Canada","Both sexes","'60-64'","2006","0.33","0.32","0.34","1.57","4045","1244025",
"Canada","Both sexes","'65-79'","2006","0.22","0.21","0.23","1.36","5375","2440240",
"Canada","Both sexes","'65-69'","2006","0.27","0.26","0.28","1.98","2540","952035",
"Canada","Both sexes","'70-74'","2006","0.20","0.19","0.21","2.49","1610","800650",
"Canada","Both sexes","'75-79'","2006","0.18","0.17","0.19","2.86","1225","687550",
"Canada","Both sexes","'80+'","2006","0.11","0.10","0.12","2.97","1130","1017770",
"Canada","Both sexes","'80-84'","2006","0.13","0.12","0.14","3.81","690","519990",
"Canada","Both sexes","'85-89'","2006","0.10","0.09","0.11","5.73","305","310460",
"Canada","Both sexes","'90+'","2006","0.07","0.06","0.09","8.45","140","187325",
"Canada","Both sexes","'20+'","2007","0.22","0.22","0.23","0.48","43830","19504125",
"Canada","Both sexes","'20-34'","2007","0.08","0.08","0.08","1.58","4030","5142305",
"Canada","Both sexes","'20-24'","2007","0.02","0.02","0.02","5.13","380","1725875",
"Canada","Both sexes","'25-29'","2007","0.07","0.07","0.08","2.81","1270","1706520",
"Canada","Both sexes","'30-34'","2007","0.14","0.13","0.15","2.05","2385","1709915",
"Canada","Both sexes","'35-49'","2007","0.26","0.26","0.27","0.80","15695","5977490",
"Canada","Both sexes","'35-39'","2007","0.20","0.20","0.21","1.63","3780","1851195",
"Canada","Both sexes","'40-44'","2007","0.27","0.26","0.27","1.37","5345","2010210",
"Canada","Both sexes","'45-49'","2007","0.31","0.30","0.32","1.23","6570","2116095",
"Canada","Both sexes","'50-64'","2007","0.35","0.35","0.36","0.76","17120","4841040",
"Canada","Both sexes","'50-54'","2007","0.36","0.35","0.37","1.20","6905","1907720",
"Canada","Both sexes","'55-59'","2007","0.36","0.35","0.37","1.32","5770","1609600",
"Canada","Both sexes","'60-64'","2007","0.34","0.33","0.35","1.50","4445","1323720",
"Canada","Both sexes","'65-79'","2007","0.23","0.23","0.24","1.32","5770","2490620",
