"Data Table: Dementia, including Alzheimer disease, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'65+'","2002","1507","1495","1519","0.41","60910","4042935",
"Canada","Both sexes","'65-79'","2002","701","692","711","0.69","21240","3028840",
"Canada","Both sexes","'65-69'","2002","268","259","278","1.80","3095","1154330",
"Canada","Both sexes","'70-74'","2002","607","593","623","1.26","6315","1039645",
"Canada","Both sexes","'75-79'","2002","1416","1391","1442","0.92","11825","834860",
"Canada","Both sexes","'80+'","2002","3912","3874","3951","0.50","39675","1014100",
"Canada","Both sexes","'80-84'","2002","2825","2781","2869","0.79","16025","567260",
"Canada","Both sexes","'85-89'","2002","4755","4676","4834","0.85","13875","291820",
"Canada","Both sexes","'90+'","2002","6305","6181","6432","1.01","9775","155025",
"Canada","Both sexes","'65+'","2003","1507","1495","1519","0.40","61935","4110190",
"Canada","Both sexes","'65-79'","2003","703","694","712","0.68","21535","3063920",
"Canada","Both sexes","'65-69'","2003","275","265","284","1.76","3235","1177425",
"Canada","Both sexes","'70-74'","2003","608","593","623","1.26","6345","1043610",
"Canada","Both sexes","'75-79'","2003","1419","1394","1445","0.91","11960","842895",
"Canada","Both sexes","'80+'","2003","3861","3824","3899","0.50","40400","1046265",
"Canada","Both sexes","'80-84'","2003","2781","2739","2824","0.78","16405","589850",
"Canada","Both sexes","'85-89'","2003","4709","4631","4788","0.85","13870","294570",
"Canada","Both sexes","'90+'","2003","6253","6132","6376","0.99","10120","161845",
"Canada","Both sexes","'65+'","2004","1511","1499","1522","0.40","63095","4176755",
"Canada","Both sexes","'65-79'","2004","707","698","717","0.68","21925","3099095",
"Canada","Both sexes","'65-69'","2004","283","273","292","1.72","3395","1201515",
"Canada","Both sexes","'70-74'","2004","606","591","621","1.26","6340","1045785",
"Canada","Both sexes","'75-79'","2004","1431","1405","1456","0.91","12185","851790",
"Canada","Both sexes","'80+'","2004","3820","3784","3857","0.49","41170","1077655",
