"Data Table: Diabetes mellitus (types combined), excluding gestational diabetes, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'1+'","2000","554","551","557","0.25","163305","29475970",
"Canada","Both sexes","'1-19'","2000","39","37","40","1.87","2845","7382285",
"Canada","Both sexes","'1-4'","2000","28","25","31","5.06","390","1385210",
"Canada","Both sexes","'5-9'","2000","34","32","37","3.85","675","1972490",
"Canada","Both sexes","'10-14'","2000","46","43","49","3.27","935","2017570",
"Canada","Both sexes","'15-19'","2000","43","40","46","3.42","855","2007020",
"Canada","Both sexes","'20-34'","2000","126","123","129","1.12","8015","6353955",
"Canada","Both sexes","'20-24'","2000","69","65","73","2.66","1415","2049785",
"Canada","Both sexes","'25-29'","2000","118","114","123","2.03","2435","2060675",
"Canada","Both sexes","'30-34'","2000","186","180","191","1.55","4165","2243500",
"Canada","Both sexes","'35-49'","2000","419","414","423","0.56","31795","7590850",
"Canada","Both sexes","'35-39'","2000","267","261","273","1.19","7075","2650970",
"Canada","Both sexes","'40-44'","2000","397","389","405","0.98","10430","2627825",
"Canada","Both sexes","'45-49'","2000","618","608","629","0.84","14295","2312055",
"Canada","Both sexes","'50-64'","2000","1214","1204","1224","0.42","56480","4651735",
"Canada","Both sexes","'50-54'","2000","959","946","973","0.72","19260","2008250",
"Canada","Both sexes","'55-59'","2000","1275","1257","1294","0.73","18975","1487805",
"Canada","Both sexes","'60-64'","2000","1580","1557","1603","0.74","18255","1155690",
"Canada","Both sexes","'65-79'","2000","1894","1877","1911","0.45","49250","2600640",
"Canada","Both sexes","'65-69'","2000","1861","1834","1888","0.73","18705","1005125",
"Canada","Both sexes","'70-74'","2000","1923","1894","1952","0.77","16950","881335",
"Canada","Both sexes","'75-79'","2000","1904","1872","1937","0.86","13600","714185",
"Canada","Both sexes","'80+'","2000","1663","1637","1690","0.82","14910","896500",
"Canada","Both sexes","'80-84'","2000","1795","1756","1833","1.09","8385","467230",
"Canada","Both sexes","'85-89'","2000","1646","1599","1695","1.48","4535","275435",
"Canada","Both sexes","'90+'","2000","1297","1241","1355","2.24","1995","153840",
"Canada","Both sexes","'1+'","2001","574","571","576","0.24","170500","29716350",
"Canada","Both sexes","'1-19'","2001","38","36","39","1.90","2770","7370990",
"Canada","Both sexes","'1-4'","2001","25","23","28","5.38","345","1358095",
"Canada","Both sexes","'5-9'","2001","32","29","34","4.03","615","1937570",
"Canada","Both sexes","'10-14'","2001","43","40","46","3.37","880","2051585",
"Canada","Both sexes","'15-19'","2001","46","43","49","3.27","935","2023745",
"Canada","Both sexes","'20-34'","2001","137","134","139","1.07","8705","6376950",
"Canada","Both sexes","'20-24'","2001","69","66","73","2.64","1440","2078400",
"Canada","Both sexes","'25-29'","2001","126","121","131","1.96","2600","2065885",
"Canada","Both sexes","'30-34'","2001","209","203","215","1.46","4670","2232675",
"Canada","Both sexes","'35-49'","2001","457","452","462","0.54","34930","7641500",
"Canada","Both sexes","'35-39'","2001","296","290","303","1.14","7675","2591760",
"Canada","Both sexes","'40-44'","2001","432","425","440","0.93","11535","2667885",
"Canada","Both sexes","'45-49'","2001","660","650","671","0.80","15725","2381865",
"Canada","Both sexes","'50-64'","2001","1236","1226","1246","0.41","59400","4807560",
"Canada","Both sexes","'50-54'","2001","978","965","992","0.71","19850","2028655",
"Canada","Both sexes","'55-59'","2001","1297","1279","1315","0.70","20610","1589050",
"Canada","Both sexes","'60-64'","2001","1591","1569","1614","0.73","18935","1189845",
"Canada","Both sexes","'65-79'","2001","1910","1893","1926","0.45","49460","2590140",
"Canada","Both sexes","'65-69'","2001","1879","1852","1906","0.73","18670","993830",
"Canada","Both sexes","'70-74'","2001","1934","1905","1963","0.76","17105","884590",
"Canada","Both sexes","'75-79'","2001","1923","1891","1955","0.85","13685","711720",
"Canada","Both sexes","'80+'","2001","1640","1614","1666","0.81","15235","929210",
"Canada","Both sexes","'80-84'","2001","1759","1722","1797","1.08","8590","488315",
"Canada","Both sexes","'85-89'","2001","1616","1569","1664","1.48","4535","280620",
"Canada","Both sexes","'90+'","2001","1316","1261","1374","2.18","2110","160280",
"Canada","Both sexes","'1+'","2002","592","589","595","0.24","177285","29943095",
"Canada","Both sexes","'1-19'","2002","39","38","41","1.86","2880","7356945",
"Canada","Both sexes","'1-4'","2002","26","23","29","5.35","350","1347250",
"Canada","Both sexes","'5-9'","2002","32","30","35","4.03","615","1901045",
"Canada","Both sexes","'10-14'","2002","42","40","45","3.37","880","2076435",
"Canada","Both sexes","'15-19'","2002","51","48","54","3.12","1030","2032200",
"Canada","Both sexes","'20-34'","2002","137","134","140","1.07","8770","6409610",
"Canada","Both sexes","'20-24'","2002","73","69","76","2.56","1530","2108750",
"Canada","Both sexes","'25-29'","2002","126","121","130","1.96","2610","2079325",
"Canada","Both sexes","'30-34'","2002","209","203","215","1.47","4635","2221540",
"Canada","Both sexes","'35-49'","2002","477","472","482","0.52","36505","7658390",
"Canada","Both sexes","'35-39'","2002","313","306","320","1.13","7860","2509105",
"Canada","Both sexes","'40-44'","2002","452","444","461","0.90","12210","2698835",
"Canada","Both sexes","'45-49'","2002","671","660","681","0.78","16435","2450450",
"Canada","Both sexes","'50-64'","2002","1275","1266","1285","0.40","63415","4971855",
"Canada","Both sexes","'50-54'","2002","1003","989","1016","0.70","20635","2057990",
"Canada","Both sexes","'55-59'","2002","1333","1316","1351","0.67","22390","1679670",
"Canada","Both sexes","'60-64'","2002","1652","1630","1675","0.70","20395","1234205",
"Canada","Both sexes","'65-79'","2002","1941","1924","1958","0.45","50240","2588285",
"Canada","Both sexes","'65-69'","2002","1889","1862","1916","0.73","18750","992775",
"Canada","Both sexes","'70-74'","2002","1970","1941","1999","0.76","17365","881530",
"Canada","Both sexes","'75-79'","2002","1978","1946","2011","0.84","14125","713980",
"Canada","Both sexes","'80+'","2002","1615","1589","1640","0.80","15470","958005",
"Canada","Both sexes","'80-84'","2002","1744","1708","1781","1.06","8845","507195",
"Canada","Both sexes","'85-89'","2002","1578","1532","1625","1.50","4460","282650",
"Canada","Both sexes","'90+'","2002","1287","1234","1343","2.15","2165","168160",
"Canada","Both sexes","'1+'","2003","581","579","584","0.24","175380","30162965",
"Canada","Both sexes","'1-19'","2003","40","39","42","1.84","2945","7333250",
"Canada","Both sexes","'1-4'","2003","28","26","31","5.13","380","1338185",
"Canada","Both sexes","'5-9'","2003","35","32","37","3.94","645","1864995",
"Canada","Both sexes","'10-14'","2003","48","45","51","3.15","1005","2082930",
"Canada","Both sexes","'15-19'","2003","45","42","48","3.29","925","2047150",
"Canada","Both sexes","'20-34'","2003","137","134","139","1.07","8815","6452480",
"Canada","Both sexes","'20-24'","2003","71","68","75","2.56","1525","2144075",
"Canada","Both sexes","'25-29'","2003","123","119","128","1.96","2595","2103665",
"Canada","Both sexes","'30-34'","2003","213","207","219","1.46","4695","2204735",
"Canada","Both sexes","'35-49'","2003","470","465","475","0.53","36000","7658135",
"Canada","Both sexes","'35-39'","2003","316","309","323","1.14","7670","2428760",
"Canada","Both sexes","'40-44'","2003","443","435","451","0.91","12065","2724080",
"Canada","Both sexes","'45-49'","2003","649","639","659","0.78","16270","2505300",
"Canada","Both sexes","'50-64'","2003","1228","1219","1238","0.40","63145","5140455",
"Canada","Both sexes","'50-54'","2003","945","932","959","0.71","19930","2108140",
"Canada","Both sexes","'55-59'","2003","1288","1271","1305","0.67","22555","1751530",
"Canada","Both sexes","'60-64'","2003","1613","1591","1635","0.70","20660","1280780",
"Canada","Both sexes","'65-79'","2003","1872","1855","1888","0.45","48525","2592720",
"Canada","Both sexes","'65-69'","2003","1846","1820","1873","0.73","18525","1003350",
"Canada","Both sexes","'70-74'","2003","1911","1882","1940","0.77","16740","876045",
"Canada","Both sexes","'75-79'","2003","1859","1827","1891","0.87","13260","713320",
"Canada","Both sexes","'80+'","2003","1617","1592","1643","0.79","15945","985925",
"Canada","Both sexes","'80-84'","2003","1783","1747","1820","1.03","9340","523830",
"Canada","Both sexes","'85-89'","2003","1548","1503","1595","1.50","4420","285470",
"Canada","Both sexes","'90+'","2003","1237","1186","1290","2.14","2185","176620",
"Canada","Both sexes","'1+'","2004","613","610","616","0.23","186230","30383225",
"Canada","Both sexes","'1-19'","2004","39","37","40","1.88","2830","7314285",
"Canada","Both sexes","'1-4'","2004","27","24","30","5.27","360","1340510",
"Canada","Both sexes","'5-9'","2004","34","32","37","4.00","625","1827230",
"Canada","Both sexes","'10-14'","2004","41","38","44","3.43","850","2072825",
"Canada","Both sexes","'15-19'","2004","48","45","51","3.17","995","2073730",
"Canada","Both sexes","'20-34'","2004","133","130","136","1.08","8615","6486770",
"Canada","Both sexes","'20-24'","2004","68","64","71","2.61","1465","2165205",
"Canada","Both sexes","'25-29'","2004","120","115","125","1.98","2555","2128390",
"Canada","Both sexes","'30-34'","2004","210","203","216","1.48","4595","2193180",
"Canada","Both sexes","'35-49'","2004","485","480","490","0.52","37120","7647810",
"Canada","Both sexes","'35-39'","2004","324","317","332","1.14","7675","2366390",
