"Data Table: Stroke, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2003","341","339","344","0.35","81315","23830580",
"Canada","Both sexes","'20-34'","2003","20","19","22","2.74","1330","6498205",
"Canada","Both sexes","'20-24'","2003","14","13","16","5.73","305","2154615",
"Canada","Both sexes","'25-29'","2003","19","18","21","4.94","410","2117160",
"Canada","Both sexes","'30-34'","2003","28","25","30","4.03","615","2226425",
"Canada","Both sexes","'35-49'","2003","72","70","74","1.33","5650","7838885",
"Canada","Both sexes","'35-39'","2003","37","34","39","3.32","905","2465310",
"Canada","Both sexes","'40-44'","2003","66","63","69","2.33","1840","2782770",
"Canada","Both sexes","'45-49'","2003","112","108","116","1.86","2900","2590795",
"Canada","Both sexes","'50-64'","2003","278","273","282","0.81","15385","5537765",
"Canada","Both sexes","'50-54'","2003","172","167","178","1.62","3830","2222595",
"Canada","Both sexes","'55-59'","2003","276","269","284","1.38","5240","1895410",
"Canada","Both sexes","'60-64'","2003","445","434","456","1.26","6315","1419760",
"Canada","Both sexes","'65-79'","2003","1072","1061","1084","0.56","31465","2934300",
"Canada","Both sexes","'65-69'","2003","697","682","713","1.12","7925","1136780",
"Canada","Both sexes","'70-74'","2003","1072","1051","1092","0.97","10685","997055",
"Canada","Both sexes","'75-79'","2003","1605","1578","1633","0.88","12850","800460",
"Canada","Both sexes","'80+'","2003","2691","2660","2723","0.60","27490","1021440",
"Canada","Both sexes","'80-84'","2003","2310","2271","2350","0.88","13005","562955",
"Canada","Both sexes","'85-89'","2003","3010","2947","3074","1.07","8725","289845",
"Canada","Both sexes","'90+'","2003","3415","3328","3505","1.32","5760","168645",
"Canada","Both sexes","'20+'","2004","338","336","340","0.35","81650","24153340",
"Canada","Both sexes","'20-34'","2004","21","20","22","2.71","1365","6535245",
"Canada","Both sexes","'20-24'","2004","15","14","17","5.46","335","2176275",
"Canada","Both sexes","'25-29'","2004","20","18","22","4.88","420","2142680",
"Canada","Both sexes","'30-34'","2004","28","25","30","4.05","610","2216290",
"Canada","Both sexes","'35-49'","2004","74","72","76","1.31","5790","7841020",
"Canada","Both sexes","'35-39'","2004","41","39","44","3.18","990","2404785",
"Canada","Both sexes","'40-44'","2004","66","63","69","2.33","1845","2792805",
"Canada","Both sexes","'45-49'","2004","112","108","116","1.84","2960","2643435",
"Canada","Both sexes","'50-64'","2004","278","274","282","0.79","16000","5756690",
"Canada","Both sexes","'50-54'","2004","174","169","180","1.58","4000","2294385",
"Canada","Both sexes","'55-59'","2004","279","271","286","1.35","5525","1982295",
"Canada","Both sexes","'60-64'","2004","437","427","448","1.24","6470","1480000",
"Canada","Both sexes","'65-79'","2004","1051","1039","1062","0.57","31160","2965500",
"Canada","Both sexes","'65-69'","2004","678","663","693","1.13","7860","1158945",
"Canada","Both sexes","'70-74'","2004","1055","1035","1076","0.97","10530","997895",
"Canada","Both sexes","'75-79'","2004","1579","1552","1607","0.88","12770","808660",
"Canada","Both sexes","'80+'","2004","2591","2560","2622","0.60","27330","1054875",
"Canada","Both sexes","'80-84'","2004","2211","2173","2250","0.88","12775","577815",
"Canada","Both sexes","'85-89'","2004","2927","2866","2988","1.07","8775","299840",
"Canada","Both sexes","'90+'","2004","3261","3178","3347","1.32","5780","177220",
"Canada","Both sexes","'20+'","2005","331","329","333","0.35","81100","24513770",
"Canada","Both sexes","'20-34'","2005","22","21","23","2.62","1455","6581065",
"Canada","Both sexes","'20-24'","2005","17","15","18","5.23","365","2200550",
"Canada","Both sexes","'25-29'","2005","20","18","21","4.85","425","2174555",
"Canada","Both sexes","'30-34'","2005","30","28","33","3.86","670","2205960",
"Canada","Both sexes","'35-49'","2005","75","73","77","1.30","5905","7859390",
"Canada","Both sexes","'35-39'","2005","44","42","47","3.06","1065","2393265",
"Canada","Both sexes","'40-44'","2005","69","66","72","2.29","1905","2762160",
"Canada","Both sexes","'45-49'","2005","108","104","112","1.85","2930","2703955",
"Canada","Both sexes","'50-64'","2005","277","273","281","0.78","16550","5975030",
"Canada","Both sexes","'50-54'","2005","172","167","177","1.57","4080","2371475",
"Canada","Both sexes","'55-59'","2005","281","274","288","1.31","5805","2067390",
"Canada","Both sexes","'60-64'","2005","434","424","444","1.22","6665","1536160",
"Canada","Both sexes","'65-79'","2005","996","985","1008","0.58","29970","3008445",
"Canada","Both sexes","'65-69'","2005","645","631","660","1.14","7675","1189345",
"Canada","Both sexes","'70-74'","2005","995","975","1014","1.00","9935","998935",
"Canada","Both sexes","'75-79'","2005","1508","1481","1534","0.90","12365","820170",
"Canada","Both sexes","'80+'","2005","2498","2468","2527","0.61","27220","1089845",
"Canada","Both sexes","'80-84'","2005","2147","2110","2185","0.89","12645","588865",
"Canada","Both sexes","'85-89'","2005","2786","2728","2845","1.07","8805","316075",
"Canada","Both sexes","'90+'","2005","3120","3040","3202","1.32","5770","184910",
"Canada","Both sexes","'20+'","2006","319","317","322","0.36","78895","24710450",
"Canada","Both sexes","'20-34'","2006","21","20","22","2.67","1400","6599930",
"Canada","Both sexes","'20-24'","2006","17","15","19","5.20","370","2206470",
"Canada","Both sexes","'25-29'","2006","20","18","22","4.79","435","2197585",
"Canada","Both sexes","'30-34'","2006","27","25","30","4.08","600","2195880",
"Canada","Both sexes","'35-49'","2006","74","72","76","1.32","5755","7770540",
"Canada","Both sexes","'35-39'","2006","40","38","43","3.24","955","2365750",
"Canada","Both sexes","'40-44'","2006","68","65","71","2.34","1825","2680640",
"Canada","Both sexes","'45-49'","2006","109","105","113","1.83","2970","2724145",
"Canada","Both sexes","'50-64'","2006","268","264","273","0.78","16515","6153515",
"Canada","Both sexes","'50-54'","2006","172","167","178","1.54","4190","2431420",
"Canada","Both sexes","'55-59'","2006","267","260","274","1.34","5560","2081790",
"Canada","Both sexes","'60-64'","2006","412","403","422","1.22","6765","1640305",
"Canada","Both sexes","'65-79'","2006","943","932","954","0.59","28855","3059420",
"Canada","Both sexes","'65-69'","2006","631","617","645","1.14","7745","1227265",
"Canada","Both sexes","'70-74'","2006","959","940","978","1.02","9580","999215",
"Canada","Both sexes","'75-79'","2006","1384","1359","1410","0.93","11530","832950",
"Canada","Both sexes","'80+'","2006","2340","2312","2369","0.62","26375","1127055",
