"Data Table: Hypertension, excluding gestational hypertension, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2000","2415","2408","2422","0.14","481300","19928265",
"Canada","Both sexes","'20-34'","2000","302","297","306","0.72","19105","6333155",
"Canada","Both sexes","'20-24'","2000","159","153","164","1.75","3260","2053045",
"Canada","Both sexes","'25-29'","2000","273","266","281","1.33","5615","2053970",
"Canada","Both sexes","'30-34'","2000","460","451","469","0.99","10230","2226135",
"Canada","Both sexes","'35-49'","2000","1340","1332","1349","0.32","98280","7333035",
"Canada","Both sexes","'35-39'","2000","759","749","770","0.71","19810","2608985",
"Canada","Both sexes","'40-44'","2000","1283","1269","1297","0.55","32685","2546810",
"Canada","Both sexes","'45-49'","2000","2103","2084","2122","0.47","45785","2177230",
"Canada","Both sexes","'50-64'","2000","4235","4215","4255","0.24","168565","3980490",
"Canada","Both sexes","'50-54'","2000","3283","3256","3309","0.41","59165","1802270",
"Canada","Both sexes","'55-59'","2000","4403","4366","4440","0.42","55470","1259895",
"Canada","Both sexes","'60-64'","2000","5872","5823","5922","0.43","53925","918315",
"Canada","Both sexes","'65-79'","2000","8381","8339","8424","0.26","148000","1765820",
"Canada","Both sexes","'65-69'","2000","7445","7382","7507","0.43","54850","736785",
"Canada","Both sexes","'70-74'","2000","8537","8463","8612","0.44","50685","593685",
"Canada","Both sexes","'75-79'","2000","9755","9663","9848","0.49","42470","435360",
"Canada","Both sexes","'80+'","2000","9180","9098","9264","0.46","47350","515770",
"Canada","Both sexes","'80-84'","2000","9939","9820","10060","0.61","26515","266765",
"Canada","Both sexes","'85-89'","2000","9374","9222","9528","0.83","14515","154845",
"Canada","Both sexes","'90+'","2000","6708","6543","6875","1.26","6315","94145",
"Canada","Both sexes","'20+'","2001","2369","2362","2376","0.15","471880","19920690",
"Canada","Both sexes","'20-34'","2001","313","309","318","0.71","19905","6353280",
"Canada","Both sexes","'20-24'","2001","165","160","171","1.70","3440","2082330",
"Canada","Both sexes","'25-29'","2001","291","284","299","1.29","5995","2058105",
"Canada","Both sexes","'30-34'","2001","473","464","483","0.98","10475","2212845",
"Canada","Both sexes","'35-49'","2001","1342","1333","1350","0.32","98640","7351270",
"Canada","Both sexes","'35-39'","2001","767","756","777","0.72","19510","2545095",
"Canada","Both sexes","'40-44'","2001","1264","1250","1277","0.55","32555","2576480",
"Canada","Both sexes","'45-49'","2001","2089","2070","2108","0.46","46570","2229685",
"Canada","Both sexes","'50-64'","2001","4175","4156","4195","0.24","168965","4046680",
"Canada","Both sexes","'50-54'","2001","3203","3177","3229","0.42","57725","1802365",
"Canada","Both sexes","'55-59'","2001","4373","4338","4409","0.42","57895","1323850",
"Canada","Both sexes","'60-64'","2001","5795","5746","5845","0.43","53345","920460",
"Canada","Both sexes","'65-79'","2001","8292","8248","8335","0.27","139145","1678105",
"Canada","Both sexes","'65-69'","2001","7365","7301","7428","0.44","51745","702610",
"Canada","Both sexes","'70-74'","2001","8533","8458","8610","0.45","48435","567590",
"Canada","Both sexes","'75-79'","2001","9552","9458","9648","0.51","38965","407905",
"Canada","Both sexes","'80+'","2001","9205","9120","9290","0.47","45230","491365",
"Canada","Both sexes","'80-84'","2001","10027","9905","10150","0.62","25840","257695",
"Canada","Both sexes","'85-89'","2001","9244","9088","9403","0.87","13305","143925",
"Canada","Both sexes","'90+'","2001","6780","6611","6952","1.28","6085","89750",
"Canada","Both sexes","'20+'","2002","2323","2316","2330","0.15","462875","19927170",
"Canada","Both sexes","'20-34'","2002","330","325","334","0.69","21050","6383370",
"Canada","Both sexes","'20-24'","2002","179","173","184","1.63","3775","2113215",
"Canada","Both sexes","'25-29'","2002","300","292","307","1.27","6205","2070715",
"Canada","Both sexes","'30-34'","2002","503","494","513","0.95","11070","2199435",
"Canada","Both sexes","'35-49'","2002","1372","1364","1381","0.32","100735","7341915",
"Canada","Both sexes","'35-39'","2002","795","784","806","0.72","19550","2460130",
"Canada","Both sexes","'40-44'","2002","1294","1280","1308","0.55","33630","2599020",
"Canada","Both sexes","'45-49'","2002","2083","2065","2102","0.46","47560","2282770",
"Canada","Both sexes","'50-64'","2002","4100","4080","4119","0.24","169195","4127045",
"Canada","Both sexes","'50-54'","2002","3146","3120","3172","0.42","57080","1814380",
"Canada","Both sexes","'55-59'","2002","4279","4245","4314","0.41","59015","1379080",
"Canada","Both sexes","'60-64'","2002","5688","5640","5736","0.43","53100","933580",
"Canada","Both sexes","'65-79'","2002","8120","8076","8164","0.28","130530","1607510",
"Canada","Both sexes","'65-69'","2002","7234","7170","7298","0.45","49180","679870",
"Canada","Both sexes","'70-74'","2002","8329","8252","8406","0.47","45000","540290",
"Canada","Both sexes","'75-79'","2002","9385","9289","9482","0.52","36355","387355",
"Canada","Both sexes","'80+'","2002","8850","8765","8936","0.49","41360","467325",
"Canada","Both sexes","'80-84'","2002","9704","9582","9828","0.64","24065","247985",
"Canada","Both sexes","'85-89'","2002","8789","8631","8950","0.92","11690","133005",
"Canada","Both sexes","'90+'","2002","6492","6323","6664","1.34","5605","86335",
"Canada","Both sexes","'20+'","2003","2279","2272","2285","0.15","454765","19958680",
"Canada","Both sexes","'20-34'","2003","335","331","340","0.68","21520","6423295",
"Canada","Both sexes","'20-24'","2003","185","179","191","1.59","3975","2148790",
"Canada","Both sexes","'25-29'","2003","307","299","314","1.25","6425","2094320",
"Canada","Both sexes","'30-34'","2003","510","501","520","0.95","11120","2180185",
"Canada","Both sexes","'35-49'","2003","1386","1377","1394","0.31","101420","7318435",
"Canada","Both sexes","'35-39'","2003","819","807","830","0.72","19465","2377970",
"Canada","Both sexes","'40-44'","2003","1303","1289","1316","0.54","34075","2616050",
"Canada","Both sexes","'45-49'","2003","2060","2042","2079","0.46","47885","2324420",
"Canada","Both sexes","'50-64'","2003","4003","3983","4022","0.24","168815","4217730",
"Canada","Both sexes","'50-54'","2003","3080","3054","3105","0.42","56870","1846670",
"Canada","Both sexes","'55-59'","2003","4165","4131","4199","0.41","59190","1421175",
"Canada","Both sexes","'60-64'","2003","5554","5507","5601","0.44","52755","949890",
"Canada","Both sexes","'65-79'","2003","7966","7922","8011","0.28","123615","1551710",
