"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2000","267","265","269","0.40","61370","23017365",
"Canada","Both sexes","'20-34'","2000","5","5","6","5.55","325","6393770",
"Canada","Both sexes","'20-24'","2000","2","2","3","14.91","45","2058405",
"Canada","Both sexes","'25-29'","2000","4","3","5","11.55","75","2072825",
"Canada","Both sexes","'30-34'","2000","9","8","10","6.98","205","2262545",
"Canada","Both sexes","'35-49'","2000","71","69","73","1.35","5480","7731710",
"Canada","Both sexes","'35-39'","2000","26","24","28","3.77","705","2682495",
"Canada","Both sexes","'40-44'","2000","67","64","70","2.37","1780","2673510",
"Canada","Both sexes","'45-49'","2000","126","122","131","1.83","2995","2375710",
"Canada","Both sexes","'50-64'","2000","314","309","319","0.80","15545","4952420",
"Canada","Both sexes","'50-54'","2000","223","217","229","1.46","4680","2098620",
"Canada","Both sexes","'55-59'","2000","325","316","334","1.39","5165","1588660",
"Canada","Both sexes","'60-64'","2000","450","439","462","1.33","5695","1265130",
"Canada","Both sexes","'65-79'","2000","823","812","833","0.64","24215","2943850",
"Canada","Both sexes","'65-69'","2000","604","590","619","1.21","6805","1125890",
"Canada","Both sexes","'70-74'","2000","824","807","842","1.10","8270","1003250",
"Canada","Both sexes","'75-79'","2000","1122","1099","1145","1.05","9140","814715",
"Canada","Both sexes","'80+'","2000","1587","1562","1612","0.80","15800","995610",
"Canada","Both sexes","'80-84'","2000","1475","1442","1508","1.14","7760","526110",
"Canada","Both sexes","'85-89'","2000","1756","1710","1804","1.37","5345","304315",
"Canada","Both sexes","'90+'","2000","1632","1570","1694","1.93","2695","165185",
"Canada","Both sexes","'20+'","2001","266","264","268","0.40","62140","23344250",
"Canada","Both sexes","'20-34'","2001","5","5","6","5.42","340","6420085",
"Canada","Both sexes","'20-24'","2001","2","1","3","15.81","40","2087830",
"Canada","Both sexes","'25-29'","2001","4","3","5","11.55","75","2078860",
"Canada","Both sexes","'30-34'","2001","10","9","11","6.67","225","2253390",
"Canada","Both sexes","'35-49'","2001","71","69","73","1.35","5520","7795890",
"Canada","Both sexes","'35-39'","2001","26","24","28","3.83","680","2626170",
"Canada","Both sexes","'40-44'","2001","65","62","68","2.39","1755","2718095",
"Canada","Both sexes","'45-49'","2001","126","121","130","1.80","3080","2451620",
"Canada","Both sexes","'50-64'","2001","304","299","309","0.80","15600","5136440",
"Canada","Both sexes","'50-54'","2001","213","207","220","1.48","4535","2125040",
"Canada","Both sexes","'55-59'","2001","312","303","320","1.37","5305","1702995",
"Canada","Both sexes","'60-64'","2001","440","429","451","1.32","5755","1308400",
"Canada","Both sexes","'65-79'","2001","811","800","821","0.65","23950","2954355",
"Canada","Both sexes","'65-69'","2001","595","581","610","1.22","6675","1121530",
"Canada","Both sexes","'70-74'","2001","808","791","826","1.10","8200","1014400",
"Canada","Both sexes","'75-79'","2001","1109","1086","1132","1.05","9075","818425",
"Canada","Both sexes","'80+'","2001","1613","1589","1638","0.77","16740","1037500",
"Canada","Both sexes","'80-84'","2001","1452","1420","1484","1.12","8040","553770",
"Canada","Both sexes","'85-89'","2001","1815","1768","1863","1.33","5650","311235",
"Canada","Both sexes","'90+'","2001","1768","1706","1832","1.81","3050","172495",
"Canada","Both sexes","'20+'","2002","264","262","266","0.40","62560","23666240",
"Canada","Both sexes","'20-34'","2002","6","5","6","5.23","365","6456430",
"Canada","Both sexes","'20-24'","2002","2","2","3","14.91","45","2118970",
"Canada","Both sexes","'25-29'","2002","4","3","5","11.18","80","2093345",
"Canada","Both sexes","'30-34'","2002","11","9","12","6.45","240","2244120",
"Canada","Both sexes","'35-49'","2002","72","70","74","1.33","5650","7828040",
"Canada","Both sexes","'35-39'","2002","27","25","29","3.82","685","2546175",
"Canada","Both sexes","'40-44'","2002","65","62","68","2.36","1790","2754395",
"Canada","Both sexes","'45-49'","2002","126","121","130","1.77","3175","2527470",
"Canada","Both sexes","'50-64'","2002","298","293","303","0.79","15880","5331645",
