"Data Table: Schizophrenia, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'10+'","2002","61","60","62","0.76","17165","28012895",
"Canada","Both sexes","'10-19'","2002","30","28","31","2.82","1260","4246685",
"Canada","Both sexes","'10-14'","2002","5","4","6","9.33","115","2144910",
"Canada","Both sexes","'15-19'","2002","54","51","58","2.96","1145","2101775",
"Canada","Both sexes","'20-34'","2002","74","72","76","1.45","4770","6426620",
"Canada","Both sexes","'20-24'","2002","90","86","95","2.29","1910","2111305",
"Canada","Both sexes","'25-29'","2002","67","63","70","2.68","1390","2082965",
"Canada","Both sexes","'30-34'","2002","66","62","69","2.61","1465","2232350",
"Canada","Both sexes","'35-49'","2002","62","61","64","1.44","4850","7790580",
"Canada","Both sexes","'35-39'","2002","63","60","66","2.50","1595","2531195",
"Canada","Both sexes","'40-44'","2002","62","59","65","2.43","1690","2739095",
"Canada","Both sexes","'45-49'","2002","62","59","65","2.52","1570","2520295",
"Canada","Both sexes","'50-64'","2002","60","57","62","1.77","3195","5367985",
"Canada","Both sexes","'50-54'","2002","63","59","66","2.72","1355","2164610",
"Canada","Both sexes","'55-59'","2002","57","54","61","3.10","1040","1820715",
"Canada","Both sexes","'60-64'","2002","57","54","62","3.55","795","1382655",
"Canada","Both sexes","'65-79'","2002","68","65","71","2.20","2075","3056530",
"Canada","Both sexes","'65-69'","2002","56","51","60","3.95","640","1151015",
"Canada","Both sexes","'70-74'","2002","69","64","74","3.73","720","1047430",
"Canada","Both sexes","'75-79'","2002","83","77","90","3.74","715","858080",
"Canada","Both sexes","'80+'","2002","90","84","96","3.15","1010","1124485",
"Canada","Both sexes","'80-84'","2002","86","79","94","4.39","520","604840",
"Canada","Both sexes","'85-89'","2002","92","82","103","5.73","305","330460",
"Canada","Both sexes","'90+'","2002","98","84","113","7.35","185","189190",
"Canada","Both sexes","'10+'","2003","58","57","59","0.78","16390","28383730",
"Canada","Both sexes","'10-19'","2003","31","29","32","2.77","1305","4267990",
"Canada","Both sexes","'10-14'","2003","5","4","6","9.53","110","2150990",
"Canada","Both sexes","'15-19'","2003","56","53","59","2.90","1190","2117000",
"Canada","Both sexes","'20-34'","2003","73","71","75","1.46","4715","6470515",
"Canada","Both sexes","'20-24'","2003","86","82","90","2.33","1845","2146875",
"Canada","Both sexes","'25-29'","2003","69","66","73","2.62","1460","2107095",
"Canada","Both sexes","'30-34'","2003","63","60","67","2.67","1405","2216545",
"Canada","Both sexes","'35-49'","2003","58","57","60","1.48","4560","7804425",
"Canada","Both sexes","'35-39'","2003","58","55","61","2.64","1430","2453200",
"Canada","Both sexes","'40-44'","2003","59","56","61","2.48","1620","2768955",
"Canada","Both sexes","'45-49'","2003","58","56","62","2.57","1510","2582265",
"Canada","Both sexes","'50-64'","2003","55","53","57","1.81","3045","5575375",
"Canada","Both sexes","'50-54'","2003","56","53","59","2.83","1250","2222840",
"Canada","Both sexes","'55-59'","2003","54","51","58","3.10","1040","1908270",
"Canada","Both sexes","'60-64'","2003","53","49","56","3.63","760","1444275",
"Canada","Both sexes","'65-79'","2003","59","56","62","2.34","1830","3094770",
"Canada","Both sexes","'65-69'","2003","56","52","61","3.89","660","1173780",
"Canada","Both sexes","'70-74'","2003","57","53","62","4.07","605","1052180",
