Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
77846319,265845,341,Canada,Both sexes,1+
0,0,0,Newfoundland and Labrador,Both sexes,1-19
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,1-19
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,1-19
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Yukon Territory,Both sexes,1-19
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,1-19
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,1-19
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,1-19
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,1-19
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,1-19
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
82312,210,255,Nova Scotia,Males,65-79
522725,1425,272,British Columbia,Males,50-64
19990,55,275,Prince Edward Island,Males,20-34
412439,1135,275,Alberta,Males,50-64
68843,205,297,New Brunswick,Males,65-79
107226,320,298,Saskatchewan,Males,50-64
572533,1790,312,British Columbia,Males,20-34
172737,550,318,Nova Scotia,Both sexes,65-79
88381,285,322,New Brunswick,Males,50-64
124093,400,322,Manitoba,Males,50-64
386129,1255,325,British Columbia,Males,65-79
106033,360,339,Nova Scotia,Males,50-64
1077882,3660,339,British Columbia,Both sexes,50-64
1474914,5075,344,Ontario,Males,50-64
85469,295,345,Manitoba,Males,65-79
142834,495,346,New Brunswick,Both sexes,65-79
821334,2905,353,Alberta,Both sexes,50-64
809808,2865,353,British Columbia,Both sexes,65-79
14101,50,354,Prince Edward Island,Females,65-79
105846,375,354,Nova Scotia,Males,20-34
509770,1865,365,Alberta,Males,35-49
253621,930,366,Alberta,Males,65-79
26985,100,370,Prince Edward Island,Both sexes,65-79
885345,3280,370,Quebec,Males,50-64
90425,340,376,Nova Scotia,Females,65-79
211770,805,380,Saskatchewan,Both sexes,50-64
