Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
7317120,60910,832,Canada,Both sexes,65+
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,65-79
68843,180,261,New Brunswick,Males,65-79
14101,40,283,Prince Edward Island,Females,65-79
142834,410,287,New Brunswick,Both sexes,65-79
82312,250,303,Nova Scotia,Males,65-79
85469,260,304,Manitoba,Males,65-79
177617,545,306,Manitoba,Both sexes,65-79
92148,285,309,Manitoba,Females,65-79
73991,230,310,New Brunswick,Females,65-79
26985,85,314,Prince Edward Island,Both sexes,65-79
664906,2090,314,Quebec,Males,65-79
172737,545,315,Nova Scotia,Both sexes,65-79
386129,1220,315,British Columbia,Males,65-79
809808,2580,318,British Columbia,Both sexes,65-79
423679,1360,320,British Columbia,Females,65-79
90425,300,331,Nova Scotia,Females,65-79
12884,45,349,Prince Edward Island,Males,65-79
270601,965,356,Alberta,Females,65-79
1370506,4940,360,Quebec,Both sexes,65-79
524222,1925,367,Alberta,Both sexes,65-79
253621,960,378,Alberta,Males,65-79
75030,300,399,Saskatchewan,Males,65-79
705600,2845,403,Quebec,Females,65-79
152565,635,416,Saskatchewan,Both sexes,65-79
77535,335,432,Saskatchewan,Females,65-79
979784,4370,446,Ontario,Males,65-79
2081884,9575,459,Ontario,Both sexes,65-79
1102100,5205,472,Ontario,Females,65-79
