Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
77846319,136545,175,Canada,Both sexes,1+
0,0,0,Newfoundland and Labrador,Both sexes,1-19
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,1-19
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,1-19
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Quebec,Both sexes,1-19
0,0,0,Quebec,Both sexes,20-34
0,0,0,Quebec,Both sexes,35-49
0,0,0,Quebec,Both sexes,50-64
0,0,0,Quebec,Both sexes,65-79
0,0,0,Quebec,Males,1-19
0,0,0,Quebec,Males,20-34
0,0,0,Quebec,Males,35-49
0,0,0,Quebec,Males,50-64
0,0,0,Quebec,Males,65-79
0,0,0,Quebec,Females,1-19
0,0,0,Quebec,Females,20-34
0,0,0,Quebec,Females,35-49
0,0,0,Quebec,Females,50-64
0,0,0,Quebec,Females,65-79
0,0,0,Yukon Territory,Both sexes,1-19
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,1-19
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,1-19
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,65-79
170354,225,132,Manitoba,Females,1-19
347203,480,138,Manitoba,Both sexes,1-19
176849,255,144,Manitoba,Males,1-19
149198,255,170,Saskatchewan,Females,1-19
304312,525,172,Saskatchewan,Both sexes,1-19
16910,30,177,Prince Edward Island,Females,1-19
155114,275,177,Saskatchewan,Males,1-19
34547,65,188,Prince Edward Island,Both sexes,1-19
17637,35,198,Prince Edward Island,Males,1-19
536488,1395,260,Alberta,Females,1-19
