"Data Table: Heart failure, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'40+'","2000","731","726","736","0.32","100630","13766075",
"Canada","Both sexes","'40-49'","2000","59","57","61","1.83","2980","5056050",
"Canada","Both sexes","'40-44'","2000","44","42","47","2.90","1185","2676375",
"Canada","Both sexes","'45-49'","2000","75","72","79","2.36","1795","2379675",
"Canada","Both sexes","'50-64'","2000","291","287","296","0.83","14455","4959630",
"Canada","Both sexes","'50-54'","2000","159","154","164","1.73","3345","2104330",
"Canada","Both sexes","'55-59'","2000","290","282","299","1.47","4620","1591995",
"Canada","Both sexes","'60-64'","2000","514","501","526","1.24","6490","1263305",
"Canada","Both sexes","'65-79'","2000","1482","1468","1496","0.48","42550","2871145",
"Canada","Both sexes","'65-69'","2000","877","859","894","1.01","9780","1115770",
"Canada","Both sexes","'70-74'","2000","1465","1441","1489","0.83","14350","979715",
"Canada","Both sexes","'75-79'","2000","2375","2341","2409","0.74","18420","775665",
"Canada","Both sexes","'80+'","2000","4622","4577","4667","0.50","40640","879250",
"Canada","Both sexes","'80-84'","2000","3675","3621","3730","0.75","17735","482535",
"Canada","Both sexes","'85-89'","2000","5318","5230","5407","0.84","14025","263720",
"Canada","Both sexes","'90+'","2000","6677","6539","6817","1.06","8880","132995",
"Canada","Both sexes","'40+'","2001","687","682","691","0.32","96980","14125020",
"Canada","Both sexes","'40-49'","2001","61","59","63","1.78","3160","5178060",
"Canada","Both sexes","'40-44'","2001","46","43","49","2.83","1250","2721555",
"Canada","Both sexes","'45-49'","2001","78","74","81","2.29","1910","2456510",
"Canada","Both sexes","'50-64'","2001","277","272","281","0.84","14245","5148645",
"Canada","Both sexes","'50-54'","2001","151","145","156","1.77","3210","2131925",
"Canada","Both sexes","'55-59'","2001","274","266","282","1.46","4680","1708470",
"Canada","Both sexes","'60-64'","2001","486","474","498","1.25","6355","1308245",
"Canada","Both sexes","'65-79'","2001","1390","1377","1404","0.50","40100","2884390",
"Canada","Both sexes","'65-69'","2001","817","800","834","1.05","9085","1112610",
"Canada","Both sexes","'70-74'","2001","1373","1350","1396","0.86","13615","991795",
"Canada","Both sexes","'75-79'","2001","2231","2198","2264","0.76","17400","779985",
"Canada","Both sexes","'80+'","2001","4319","4277","4362","0.50","39475","913920",
"Canada","Both sexes","'80-84'","2001","3417","3366","3468","0.76","17340","507490",
"Canada","Both sexes","'85-89'","2001","5072","4987","5158","0.86","13630","268725",
"Canada","Both sexes","'90+'","2001","6180","6049","6312","1.08","8510","137710",
"Canada","Both sexes","'40+'","2002","632","628","636","0.33","91675","14497065",
"Canada","Both sexes","'40-49'","2002","60","58","62","1.78","3165","5291325",
"Canada","Both sexes","'40-44'","2002","45","42","47","2.85","1235","2758255",
"Canada","Both sexes","'45-49'","2002","76","73","80","2.28","1930","2533065",
"Canada","Both sexes","'50-64'","2002","261","257","266","0.85","13975","5348880",
"Canada","Both sexes","'50-54'","2002","142","137","148","1.80","3090","2169065",
"Canada","Both sexes","'55-59'","2002","256","249","264","1.47","4650","1814650",
"Canada","Both sexes","'60-64'","2002","457","445","468","1.27","6235","1365165",
"Canada","Both sexes","'65-79'","2002","1275","1262","1288","0.52","37085","2908850",
"Canada","Both sexes","'65-69'","2002","751","735","768","1.09","8420","1120720",
"Canada","Both sexes","'70-74'","2002","1267","1245","1289","0.89","12640","997780",
"Canada","Both sexes","'75-79'","2002","2028","1996","2059","0.79","16025","790345",
"Canada","Both sexes","'80+'","2002","3950","3910","3991","0.52","37450","948015",
"Canada","Both sexes","'80-84'","2002","3116","3069","3164","0.78","16560","531380",
"Canada","Both sexes","'85-89'","2002","4590","4510","4671","0.90","12480","271890",
"Canada","Both sexes","'90+'","2002","5810","5687","5936","1.09","8410","144745",
"Canada","Both sexes","'40+'","2003","614","610","618","0.33","91250","14869425",
"Canada","Both sexes","'40-49'","2003","58","56","60","1.78","3145","5385585",
"Canada","Both sexes","'40-44'","2003","45","43","48","2.82","1255","2789320",
"Canada","Both sexes","'45-49'","2003","73","70","76","2.30","1890","2596270",
"Canada","Both sexes","'50-64'","2003","250","246","254","0.85","13900","5556160",
"Canada","Both sexes","'50-54'","2003","136","131","141","1.82","3030","2228395",
"Canada","Both sexes","'55-59'","2003","249","242","257","1.45","4745","1901975",
"Canada","Both sexes","'60-64'","2003","429","419","440","1.28","6120","1425790",
"Canada","Both sexes","'65-79'","2003","1222","1210","1235","0.53","35980","2943345",
"Canada","Both sexes","'65-69'","2003","727","712","743","1.10","8310","1142370",
"Canada","Both sexes","'70-74'","2003","1212","1190","1234","0.91","12135","1001340",
"Canada","Both sexes","'75-79'","2003","1943","1912","1974","0.80","15535","799635",
"Canada","Both sexes","'80+'","2003","3883","3844","3922","0.51","38220","984330",
"Canada","Both sexes","'80-84'","2003","3072","3026","3118","0.77","17040","554705",
"Canada","Both sexes","'85-89'","2003","4540","4461","4620","0.89","12570","276880",
"Canada","Both sexes","'90+'","2003","5637","5519","5757","1.08","8610","152740",
"Canada","Both sexes","'40+'","2004","588","584","591","0.33","89475","15226685",
"Canada","Both sexes","'40-49'","2004","54","52","56","1.84","2940","5449985",
"Canada","Both sexes","'40-44'","2004","43","40","45","2.89","1195","2799945",
"Canada","Both sexes","'45-49'","2004","66","63","69","2.39","1745","2650045",
"Canada","Both sexes","'50-64'","2004","238","234","242","0.85","13765","5777635",
"Canada","Both sexes","'50-54'","2004","130","126","135","1.83","3000","2300820",
"Canada","Both sexes","'55-59'","2004","237","231","244","1.45","4725","1989760",
"Canada","Both sexes","'60-64'","2004","406","396","417","1.29","6040","1487050",
"Canada","Both sexes","'65-79'","2004","1150","1138","1163","0.54","34260","2978160",
"Canada","Both sexes","'65-69'","2004","678","663","693","1.13","7895","1165145",
"Canada","Both sexes","'70-74'","2004","1128","1108","1149","0.94","11325","1003700",
"Canada","Both sexes","'75-79'","2004","1858","1828","1888","0.82","15035","809305",
"Canada","Both sexes","'80+'","2004","3773","3735","3810","0.51","38515","1020910",
"Canada","Both sexes","'80-84'","2004","2944","2899","2988","0.77","16820","571405",
"Canada","Both sexes","'85-89'","2004","4363","4287","4440","0.89","12575","288225",
"Canada","Both sexes","'90+'","2004","5655","5539","5772","1.05","9120","161285",
"Canada","Both sexes","'40+'","2005","564","560","568","0.34","87760","15564920",
"Canada","Both sexes","'40-49'","2005","57","55","59","1.79","3130","5481565",
"Canada","Both sexes","'40-44'","2005","44","42","47","2.85","1230","2769680",
"Canada","Both sexes","'45-49'","2005","70","67","73","2.29","1900","2711885",
"Canada","Both sexes","'50-64'","2005","228","224","231","0.86","13650","5999000",
"Canada","Both sexes","'50-54'","2005","126","122","131","1.83","3000","2378790",
"Canada","Both sexes","'55-59'","2005","223","217","230","1.47","4630","2075950",
"Canada","Both sexes","'60-64'","2005","390","380","400","1.29","6025","1544270",
"Canada","Both sexes","'65-79'","2005","1092","1080","1104","0.55","33035","3025495",
"Canada","Both sexes","'65-69'","2005","654","640","669","1.13","7830","1196375",
"Canada","Both sexes","'70-74'","2005","1075","1055","1096","0.96","10820","1006105",
"Canada","Both sexes","'75-79'","2005","1748","1719","1777","0.83","14385","823010",
"Canada","Both sexes","'80+'","2005","3583","3547","3619","0.51","37940","1058850",
"Canada","Both sexes","'80-84'","2005","2790","2747","2833","0.78","16300","584330",
"Canada","Both sexes","'85-89'","2005","4134","4062","4207","0.89","12630","305530",
"Canada","Both sexes","'90+'","2005","5329","5219","5440","1.05","9005","168990",
"Canada","Both sexes","'40+'","2006","550","546","554","0.34","86810","15781835",
"Canada","Both sexes","'40-49'","2006","57","55","59","1.80","3085","5421530",
"Canada","Both sexes","'40-44'","2006","45","42","47","2.88","1205","2688685",
"Canada","Both sexes","'45-49'","2006","69","66","72","2.31","1880","2732845",
"Canada","Both sexes","'50-64'","2006","220","217","224","0.86","13615","6181170",
"Canada","Both sexes","'50-54'","2006","116","112","121","1.88","2840","2440025",
"Canada","Both sexes","'55-59'","2006","218","212","224","1.48","4560","2091080",
"Canada","Both sexes","'60-64'","2006","377","367","386","1.27","6215","1650060",
"Canada","Both sexes","'65-79'","2006","1055","1043","1066","0.55","32485","3080555",
"Canada","Both sexes","'65-69'","2006","618","604","632","1.14","7640","1235680",
"Canada","Both sexes","'70-74'","2006","1039","1019","1059","0.98","10465","1007175",
"Canada","Both sexes","'75-79'","2006","1717","1689","1745","0.83","14385","837705",
"Canada","Both sexes","'80+'","2006","3425","3390","3460","0.52","37625","1098575",
"Canada","Both sexes","'80-84'","2006","2681","2639","2722","0.79","15925","594105",
"Canada","Both sexes","'85-89'","2006","3897","3829","3965","0.89","12740","326930",
"Canada","Both sexes","'90+'","2006","5044","4940","5150","1.06","8955","177530",
"Canada","Both sexes","'40+'","2007","539","536","543","0.34","86295","16007090",
"Canada","Both sexes","'40-49'","2007","57","55","59","1.82","3035","5347470",
"Canada","Both sexes","'40-44'","2007","46","43","48","2.90","1185","2593205",
"Canada","Both sexes","'45-49'","2007","67","64","70","2.32","1855","2754275",
"Canada","Both sexes","'50-64'","2007","220","217","224","0.84","14030","6371165",
"Canada","Both sexes","'50-54'","2007","124","120","129","1.79","3110","2505625",
"Canada","Both sexes","'55-59'","2007","212","206","219","1.49","4495","2118070",
"Canada","Both sexes","'60-64'","2007","368","359","377","1.25","6425","1747470",
"Canada","Both sexes","'65-79'","2007","1004","993","1015","0.56","31605","3148820",
"Canada","Both sexes","'65-69'","2007","597","584","610","1.14","7675","1285745",
"Canada","Both sexes","'70-74'","2007","996","977","1016","0.99","10115","1015575",
"Canada","Both sexes","'75-79'","2007","1630","1602","1657","0.85","13810","847495",
"Canada","Both sexes","'80+'","2007","3302","3269","3335","0.52","37630","1139640",
"Canada","Both sexes","'80-84'","2007","2574","2534","2615","0.80","15630","607250",
"Canada","Both sexes","'85-89'","2007","3779","3715","3844","0.87","13105","346765",
"Canada","Both sexes","'90+'","2007","4789","4690","4890","1.06","8890","185625",
"Canada","Both sexes","'40+'","2008","554","550","557","0.33","91580","16534115",
"Canada","Both sexes","'40-49'","2008","65","62","67","1.70","3480","5387320",
"Canada","Both sexes","'40-44'","2008","53","50","55","2.73","1345","2558885",
"Canada","Both sexes","'45-49'","2008","76","72","79","2.16","2140","2828445",
"Canada","Both sexes","'50-64'","2008","229","226","233","0.81","15345","6688395",
"Canada","Both sexes","'50-54'","2008","127","122","131","1.74","3300","2608470",
"Canada","Both sexes","'55-59'","2008","221","215","227","1.43","4900","2215190",
"Canada","Both sexes","'60-64'","2008","383","374","392","1.18","7140","1864730",
"Canada","Both sexes","'65-79'","2008","1007","996","1018","0.55","32965","3272590",
