Province,Sex,Age Group,Population
Canada,Both sexes,0+,38929902
Canada,Both sexes,0-4,1881099
Canada,Both sexes,5-9,2062572
Canada,Both sexes,10-14,2126905
Canada,Both sexes,15-19,2124972
Canada,Both sexes,20-24,2520278
Canada,Both sexes,25-29,2703647
Canada,Both sexes,30-34,2782998
Canada,Both sexes,35-39,2718849
Canada,Both sexes,40-44,2573624
Canada,Both sexes,45-49,2405593
Canada,Both sexes,50-54,2423627
Canada,Both sexes,55-59,2635125
Canada,Both sexes,60-64,2640008
Canada,Both sexes,65-69,2308096
Canada,Both sexes,70-74,1879942
Canada,Both sexes,75-79,1381797
Canada,Both sexes,80-84,878761
Canada,Both sexes,85-89,530078
Canada,Both sexes,90-94,260752
Canada,Both sexes,95-99,77694
Canada,Both sexes,0-14,6070576
Canada,Both sexes,0-15,6489341
Canada,Both sexes,0-16,6902068
Canada,Both sexes,0-17,7314075
Canada,Both sexes,15-49,17829961
Canada,Both sexes,15-64,25528721
Canada,Both sexes,16-64,25109956
Canada,Both sexes,17-64,24697229
Canada,Both sexes,18-64,24285222
Canada,Both sexes,18-24,3401751
Canada,Both sexes,25-44,10779118
Canada,Both sexes,45-64,10104353
Canada,Males,0+,19357704
Canada,Males,0-4,964696
Canada,Males,5-9,1056692
Canada,Males,10-14,1084824
Canada,Males,15-19,1082693
Canada,Males,20-24,1313100
Canada,Males,25-29,1403901
Canada,Males,30-34,1417447
Canada,Males,35-39,1370181
Canada,Males,40-44,1278613
Canada,Males,45-49,1190306
Canada,Males,50-54,1202350
Canada,Males,55-59,1308415
Canada,Males,60-64,1299750
Canada,Males,65-69,1118232
Canada,Males,70-74,897586
Canada,Males,75-79,647403
Canada,Males,80-84,391174
Canada,Males,85-89,216618
Canada,Males,90-94,90572
Canada,Males,95-99,20532
Canada,Males,0-14,3106212
Canada,Males,0-15,3319075
Canada,Males,0-16,3528607
Canada,Males,0-17,3738222
Canada,Males,15-49,9056241
Canada,Males,15-64,12866756
Canada,Males,16-64,12653893
Canada,Males,17-64,12444361
Canada,Males,18-64,12234746
Canada,Males,18-24,1763783
Canada,Males,25-44,5470142
Canada,Males,45-64,5000821
Canada,Females,0+,19572198
Canada,Females,0-4,916403
Canada,Females,5-9,1005880
Canada,Females,10-14,1042081
Canada,Females,15-19,1042279
Canada,Females,20-24,1207178
Canada,Females,25-29,1299746
Canada,Females,30-34,1365551
Canada,Females,35-39,1348668
Canada,Females,40-44,1295011
Canada,Females,45-49,1215287
Canada,Females,50-54,1221277
Canada,Females,55-59,1326710
Canada,Females,60-64,1340258
Canada,Females,65-69,1189864
Canada,Females,70-74,982356
Canada,Females,75-79,734394
Canada,Females,80-84,487587
Canada,Females,85-89,313460
Canada,Females,90-94,170180
Canada,Females,95-99,57162
Canada,Females,0-14,2964364
Canada,Females,0-15,3170266
Canada,Females,0-16,3373461
Canada,Females,0-17,3575853
Canada,Females,15-49,8773720
Canada,Females,15-64,12661965
Canada,Females,16-64,12456063
Canada,Females,17-64,12252868
Canada,Females,18-64,12050476
Canada,Females,18-24,1637968
Canada,Females,25-44,5308976
Canada,Females,45-64,5103532
Newfoundland and Labrador,Both sexes,0+,525972
Newfoundland and Labrador,Both sexes,0-4,19502
Newfoundland and Labrador,Both sexes,5-9,23130
Newfoundland and Labrador,Both sexes,10-14,25829
Newfoundland and Labrador,Both sexes,15-19,27290
Newfoundland and Labrador,Both sexes,20-24,30009
Newfoundland and Labrador,Both sexes,25-29,28408
Newfoundland and Labrador,Both sexes,30-34,29456
Newfoundland and Labrador,Both sexes,35-39,29963
Newfoundland and Labrador,Both sexes,40-44,30912
Newfoundland and Labrador,Both sexes,45-49,33683
Newfoundland and Labrador,Both sexes,50-54,39049
Newfoundland and Labrador,Both sexes,55-59,42217
Newfoundland and Labrador,Both sexes,60-64,42585
Newfoundland and Labrador,Both sexes,65-69,40343
Newfoundland and Labrador,Both sexes,70-74,34780
Newfoundland and Labrador,Both sexes,75-79,24456
Newfoundland and Labrador,Both sexes,80-84,13649
Newfoundland and Labrador,Both sexes,85-89,6986
Newfoundland and Labrador,Both sexes,90-94,2812
Newfoundland and Labrador,Both sexes,95-99,768
Newfoundland and Labrador,Both sexes,0-14,68461
Newfoundland and Labrador,Both sexes,0-15,73705
Newfoundland and Labrador,Both sexes,0-16,79080
Newfoundland and Labrador,Both sexes,0-17,84428
Newfoundland and Labrador,Both sexes,15-49,209721
Newfoundland and Labrador,Both sexes,15-64,333572
Newfoundland and Labrador,Both sexes,16-64,328328
Newfoundland and Labrador,Both sexes,17-64,322953
Newfoundland and Labrador,Both sexes,18-64,317605
Newfoundland and Labrador,Both sexes,18-24,41332
