"Data Table: Osteoporosis-related fracture   any (annual), Crude rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'40+'","2000","620","616","624","0.00","87510","14123465",
"Canada","Both sexes","'40-49'","2000","232","227","236","0.92","11725","5063745",
"Canada","Both sexes","'40-44'","2000","222","217","228","1.30","5955","2678320",
"Canada","Both sexes","'45-49'","2000","242","236","248","1.32","5770","2385420",
"Canada","Both sexes","'50-64'","2000","377","372","383","0.73","18885","5007690",
"Canada","Both sexes","'50-54'","2000","305","297","312","1.25","6440","2114750",
"Canada","Both sexes","'55-59'","2000","390","381","400","1.26","6275","1607465",
"Canada","Both sexes","'60-64'","2000","480","468","492","1.27","6175","1285480",
"Canada","Both sexes","'65-79'","2000","916","905","927","0.60","27655","3019125",
"Canada","Both sexes","'65-69'","2000","620","606","635","1.18","7125","1149270",
"Canada","Both sexes","'70-74'","2000","874","856","892","1.05","8995","1029345",
"Canada","Both sexes","'75-79'","2000","1372","1347","1397","0.93","11530","840505",
"Canada","Both sexes","'80+'","2000","2831","2799","2864","0.58","29240","1032900",
"Canada","Both sexes","'80-84'","2000","2156","2117","2195","0.92","11765","545770",
"Canada","Both sexes","'85-89'","2000","3251","3188","3314","0.99","10290","316535",
"Canada","Both sexes","'90+'","2000","4214","4118","4313","1.18","7190","170605",
"Canada","Both sexes","'40+'","2001","602","598","606","0.00","87425","14515805",
"Canada","Both sexes","'40-49'","2001","223","219","227","0.93","11565","5186390",
"Canada","Both sexes","'40-44'","2001","214","209","220","1.31","5840","2723590",
"Canada","Both sexes","'45-49'","2001","233","227","239","1.32","5730","2462805",
"Canada","Both sexes","'50-64'","2001","363","358","368","0.73","18870","5202505",
"Canada","Both sexes","'50-54'","2001","293","286","300","1.26","6275","2143530",
"Canada","Both sexes","'55-59'","2001","374","365","383","1.24","6460","1726115",
"Canada","Both sexes","'60-64'","2001","460","448","472","1.28","6130","1332855",
"Canada","Both sexes","'65-79'","2001","884","873","894","0.61","26895","3043165",
"Canada","Both sexes","'65-69'","2001","593","579","608","1.21","6815","1148650",
"Canada","Both sexes","'70-74'","2001","842","825","860","1.07","8805","1045370",
"Canada","Both sexes","'75-79'","2001","1328","1303","1353","0.94","11275","849150",
"Canada","Both sexes","'80+'","2001","2778","2747","2809","0.58","30105","1083760",
"Canada","Both sexes","'80-84'","2001","2111","2074","2149","0.91","12200","577970",
"Canada","Both sexes","'85-89'","2001","3169","3109","3231","0.98","10340","326255",
"Canada","Both sexes","'90+'","2001","4214","4119","4310","1.15","7565","179535",
"Canada","Both sexes","'40+'","2002","611","607","615","0.00","91100","14915255",
"Canada","Both sexes","'40-49'","2002","230","226","234","0.91","12170","5300245",
"Canada","Both sexes","'40-44'","2002","216","210","221","1.30","5950","2760300",
"Canada","Both sexes","'45-49'","2002","245","239","251","1.27","6220","2539950",
"Canada","Both sexes","'50-64'","2002","376","371","382","0.70","20350","5407910",
"Canada","Both sexes","'50-54'","2002","307","300","315","1.22","6700","2181405",
"Canada","Both sexes","'55-59'","2002","377","368","386","1.20","6910","1834205",
"Canada","Both sexes","'60-64'","2002","484","473","496","1.22","6740","1392300",
"Canada","Both sexes","'65-79'","2002","887","877","898","0.61","27295","3075990",
"Canada","Both sexes","'65-69'","2002","602","588","616","1.20","6970","1158620",
"Canada","Both sexes","'70-74'","2002","855","838","873","1.05","9015","1054030",
"Canada","Both sexes","'75-79'","2002","1309","1285","1334","0.94","11305","863335",
"Canada","Both sexes","'80+'","2002","2766","2736","2797","0.57","31290","1131115",
"Canada","Both sexes","'80-84'","2002","2085","2049","2122","0.89","12685","608420",
"Canada","Both sexes","'85-89'","2002","3236","3175","3298","0.96","10755","332350",
"Canada","Both sexes","'90+'","2002","4127","4036","4219","1.13","7855","190350",
"Canada","Both sexes","'40+'","2003","615","611","619","0.00","94100","15308505",
"Canada","Both sexes","'40-49'","2003","230","226","234","0.90","12410","5394960",
"Canada","Both sexes","'40-44'","2003","214","208","219","1.29","5970","2791415",
"Canada","Both sexes","'45-49'","2003","247","241","253","1.25","6435","2603545",
"Canada","Both sexes","'50-64'","2003","383","378","388","0.68","21505","5619770",
"Canada","Both sexes","'50-54'","2003","310","302","317","1.20","6940","2241455",
"Canada","Both sexes","'55-59'","2003","390","382","399","1.15","7510","1923255",
"Canada","Both sexes","'60-64'","2003","485","474","496","1.19","7055","1455065",
"Canada","Both sexes","'65-79'","2003","889","879","900","0.60","27705","3115805",
"Canada","Both sexes","'65-69'","2003","609","595","623","1.18","7195","1182025",
"Canada","Both sexes","'70-74'","2003","837","820","855","1.06","8870","1059265",
"Canada","Both sexes","'75-79'","2003","1330","1306","1355","0.93","11635","874515",
"Canada","Both sexes","'80+'","2003","2757","2727","2787","0.55","32480","1177960",
"Canada","Both sexes","'80-84'","2003","2109","2074","2145","0.86","13435","637000",
"Canada","Both sexes","'85-89'","2003","3179","3119","3240","0.96","10785","339245",
"Canada","Both sexes","'90+'","2003","4097","4009","4187","1.10","8265","201720",
"Canada","Both sexes","'40+'","2004","618","614","622","0.00","96960","15683015",
"Canada","Both sexes","'40-49'","2004","230","226","234","0.89","12580","5459620",
"Canada","Both sexes","'40-44'","2004","213","208","219","1.29","5970","2802055",
"Canada","Both sexes","'45-49'","2004","249","243","255","1.23","6610","2657565",
"Canada","Both sexes","'50-64'","2004","396","390","401","0.66","23120","5845470",
"Canada","Both sexes","'50-54'","2004","316","309","324","1.17","7320","2314620",
"Canada","Both sexes","'55-59'","2004","410","401","419","1.10","8245","2012750",
"Canada","Both sexes","'60-64'","2004","498","487","510","1.15","7565","1518110",
"Canada","Both sexes","'65-79'","2004","883","873","894","0.60","27860","3154665",
"Canada","Both sexes","'65-69'","2004","607","593","621","1.17","7320","1206515",
"Canada","Both sexes","'70-74'","2004","851","834","869","1.05","9045","1062360",
"Canada","Both sexes","'75-79'","2004","1298","1274","1322","0.93","11495","885795",
