"Data Table: Gout and other crystal arthropathies (active), Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2007","1.24","1.23","1.24","0.18","316155","25512470",
"Canada","Both sexes","'20-34'","2007","0.13","0.13","0.14","1.06","8865","6654755",
"Canada","Both sexes","'20-24'","2007","0.03","0.03","0.03","4.02","620","2210670",
"Canada","Both sexes","'25-29'","2007","0.11","0.11","0.11","2.01","2470","2235195",
"Canada","Both sexes","'30-34'","2007","0.26","0.25","0.27","1.32","5775","2208880",
"Canada","Both sexes","'35-49'","2007","0.69","0.68","0.69","0.43","53100","7708540",
"Canada","Both sexes","'35-39'","2007","0.45","0.45","0.46","0.97","10690","2351165",
"Canada","Both sexes","'40-44'","2007","0.66","0.65","0.67","0.76","17125","2595285",
"Canada","Both sexes","'45-49'","2007","0.92","0.90","0.93","0.63","25275","2762080",
"Canada","Both sexes","'50-64'","2007","1.57","1.56","1.58","0.31","101340","6448570",
"Canada","Both sexes","'50-54'","2007","1.21","1.19","1.22","0.57","30440","2521070",
"Canada","Both sexes","'55-59'","2007","1.62","1.61","1.64","0.54","34775","2143340",
"Canada","Both sexes","'60-64'","2007","2.02","2.00","2.05","0.53","36125","1784160",
"Canada","Both sexes","'65-79'","2007","2.99","2.97","3.01","0.32","99710","3334755",
"Canada","Both sexes","'65-69'","2007","2.50","2.47","2.53","0.55","33315","1332125",
"Canada","Both sexes","'70-74'","2007","3.10","3.06","3.13","0.55","33275","1075020",
"Canada","Both sexes","'75-79'","2007","3.57","3.53","3.61","0.55","33120","927610",
"Canada","Both sexes","'80+'","2007","3.89","3.86","3.92","0.43","53145","1365860",
"Canada","Both sexes","'80-84'","2007","3.90","3.85","3.94","0.61","27145","696680",
"Canada","Both sexes","'85-89'","2007","4.08","4.02","4.14","0.76","17280","423905",
"Canada","Both sexes","'90+'","2007","3.56","3.48","3.63","1.07","8725","245280",
"Canada","Both sexes","'20+'","2008","1.27","1.27","1.28","0.17","334725","26278795",
