"Data Table: Osteoporosis, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'40+'","2000","1252","1246","1258","0.24","168815","13483675",
"Canada","Both sexes","'40-49'","2000","455","449","461","0.66","22745","5002545",
"Canada","Both sexes","'40-44'","2000","361","354","369","1.02","9615","2660480",
"Canada","Both sexes","'45-49'","2000","561","551","570","0.87","13130","2342065",
"Canada","Both sexes","'50-64'","2000","1288","1278","1298","0.40","61635","4786440",
"Canada","Both sexes","'50-54'","2000","1019","1005","1033","0.69","20865","2048250",
"Canada","Both sexes","'55-59'","2000","1358","1339","1376","0.69","20790","1531300",
"Canada","Both sexes","'60-64'","2000","1655","1633","1679","0.71","19980","1206895",
"Canada","Both sexes","'65-79'","2000","2157","2139","2174","0.41","59745","2770160",
"Canada","Both sexes","'65-69'","2000","1961","1935","1988","0.69","20890","1065105",
"Canada","Both sexes","'70-74'","2000","2157","2127","2187","0.70","20345","943325",
"Canada","Both sexes","'75-79'","2000","2430","2395","2465","0.74","18510","761730",
"Canada","Both sexes","'80+'","2000","2670","2636","2703","0.64","24680","924515",
"Canada","Both sexes","'80-84'","2000","2595","2550","2640","0.89","12730","490590",
"Canada","Both sexes","'85-89'","2000","2798","2737","2860","1.13","7895","282170",
"Canada","Both sexes","'90+'","2000","2675","2594","2759","1.57","4060","151755",
"Canada","Both sexes","'40+'","2001","1267","1261","1273","0.24","173985","13732425",
"Canada","Both sexes","'40-49'","2001","463","457","469","0.65","23675","5115770",
"Canada","Both sexes","'40-44'","2001","368","361","375","1.00","9955","2704930",
"Canada","Both sexes","'45-49'","2001","569","560","579","0.85","13720","2410835",
"Canada","Both sexes","'50-64'","2001","1312","1302","1322","0.39","64655","4929220",
"Canada","Both sexes","'50-54'","2001","1067","1053","1081","0.67","22035","2064755",
"Canada","Both sexes","'55-59'","2001","1381","1363","1399","0.67","22495","1628920",
"Canada","Both sexes","'60-64'","2001","1629","1606","1652","0.70","20125","1235535",
"Canada","Both sexes","'65-79'","2001","2168","2150","2185","0.41","59405","2740300",
"Canada","Both sexes","'65-69'","2001","1931","1904","1958","0.70","20220","1047245",
"Canada","Both sexes","'70-74'","2001","2194","2164","2224","0.70","20620","940010",
"Canada","Both sexes","'75-79'","2001","2465","2430","2501","0.73","18565","753050",
"Canada","Both sexes","'80+'","2001","2772","2738","2805","0.62","26250","947135",
"Canada","Both sexes","'80-84'","2001","2691","2646","2737","0.86","13665","507775",
"Canada","Both sexes","'85-89'","2001","2914","2851","2977","1.10","8265","283665",
"Canada","Both sexes","'90+'","2001","2778","2696","2862","1.52","4325","155695",
"Canada","Both sexes","'40+'","2002","1279","1273","1285","0.24","178920","13987045",
"Canada","Both sexes","'40-49'","2002","460","454","466","0.65","24010","5221690",
"Canada","Both sexes","'40-44'","2002","370","363","377","0.99","10135","2740970",
"Canada","Both sexes","'45-49'","2002","559","550","569","0.85","13875","2480725",
"Canada","Both sexes","'50-64'","2002","1351","1341","1361","0.38","68640","5081175",
"Canada","Both sexes","'50-54'","2002","1099","1084","1113","0.66","22965","2090305",
"Canada","Both sexes","'55-59'","2002","1406","1389","1424","0.64","24125","1715340",
"Canada","Both sexes","'60-64'","2002","1689","1667","1712","0.68","21550","1275530",
"Canada","Both sexes","'65-79'","2002","2196","2179","2214","0.41","59740","2720240",
"Canada","Both sexes","'65-69'","2002","1986","1959","2014","0.70","20675","1040810",
"Canada","Both sexes","'70-74'","2002","2209","2179","2239","0.70","20540","929925",
"Canada","Both sexes","'75-79'","2002","2471","2436","2507","0.73","18520","749500",
"Canada","Both sexes","'80+'","2002","2752","2719","2786","0.61","26530","963945",
"Canada","Both sexes","'80-84'","2002","2689","2645","2734","0.84","14030","521660",
"Canada","Both sexes","'85-89'","2002","2911","2848","2975","1.10","8190","281330",
"Canada","Both sexes","'90+'","2002","2678","2598","2759","1.52","4310","160950",
"Canada","Both sexes","'40+'","2003","1215","1210","1221","0.24","172990","14234355",
"Canada","Both sexes","'40-49'","2003","423","418","429","0.67","22465","5310525",
"Canada","Both sexes","'40-44'","2003","341","334","348","1.03","9455","2771760",
"Canada","Both sexes","'45-49'","2003","512","504","521","0.88","13010","2538765",
"Canada","Both sexes","'50-64'","2003","1257","1248","1267","0.39","65845","5237685",
"Canada","Both sexes","'50-54'","2003","997","984","1011","0.68","21320","2137550",
"Canada","Both sexes","'55-59'","2003","1323","1306","1340","0.65","23595","1783045",
"Canada","Both sexes","'60-64'","2003","1589","1567","1610","0.69","20925","1317095",
"Canada","Both sexes","'65-79'","2003","2134","2117","2152","0.42","57775","2706845",
"Canada","Both sexes","'65-69'","2003","1888","1861","1914","0.71","19750","1046355",
"Canada","Both sexes","'70-74'","2003","2154","2124","2184","0.71","19755","917225",
"Canada","Both sexes","'75-79'","2003","2458","2423","2494","0.74","18270","743265",
