"Data Table: Epilepsy (active), Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'1+'","2005","0.55","0.54","0.55","0.27","136545","25014795",
"Canada","Both sexes","'1-19'","2005","0.36","0.35","0.36","0.69","21165","5901975",
"Canada","Both sexes","'1-4'","2005","0.17","0.16","0.18","2.31","1875","1089885",
"Canada","Both sexes","'5-9'","2005","0.37","0.36","0.38","1.36","5385","1448590",
"Canada","Both sexes","'10-14'","2005","0.41","0.40","0.42","1.21","6810","1648805",
"Canada","Both sexes","'15-19'","2005","0.41","0.40","0.42","1.19","7095","1714700",
"Canada","Both sexes","'20-34'","2005","0.51","0.51","0.52","0.62","25995","5082480",
"Canada","Both sexes","'20-24'","2005","0.48","0.47","0.49","1.10","8235","1706755",
"Canada","Both sexes","'25-29'","2005","0.52","0.51","0.53","1.08","8620","1648095",
"Canada","Both sexes","'30-34'","2005","0.53","0.52","0.54","1.05","9140","1727630",
"Canada","Both sexes","'35-49'","2005","0.60","0.60","0.61","0.52","36725","6097185",
"Canada","Both sexes","'35-39'","2005","0.56","0.55","0.57","0.98","10505","1880695",
"Canada","Both sexes","'40-44'","2005","0.61","0.60","0.62","0.88","13045","2143225",
"Canada","Both sexes","'45-49'","2005","0.64","0.62","0.65","0.87","13175","2073265",
"Canada","Both sexes","'50-64'","2005","0.64","0.63","0.64","0.59","28920","4550330",
"Canada","Both sexes","'50-54'","2005","0.65","0.64","0.66","0.92","11735","1811150",
"Canada","Both sexes","'55-59'","2005","0.62","0.61","0.64","1.01","9855","1580710",
"Canada","Both sexes","'60-64'","2005","0.63","0.62","0.65","1.17","7330","1158470",
"Canada","Both sexes","'65-79'","2005","0.68","0.66","0.69","0.79","16210","2401250",
"Canada","Both sexes","'65-69'","2005","0.63","0.61","0.64","1.31","5805","926465",
"Canada","Both sexes","'70-74'","2005","0.69","0.68","0.71","1.34","5530","797365",
"Canada","Both sexes","'75-79'","2005","0.72","0.70","0.74","1.43","4875","677425",
"Canada","Both sexes","'80+'","2005","0.77","0.75","0.78","1.15","7530","981575",
"Canada","Both sexes","'80-84'","2005","0.78","0.76","0.81","1.58","4025","513115",
"Canada","Both sexes","'85-89'","2005","0.81","0.78","0.84","2.07","2345","290440",
"Canada","Both sexes","'90+'","2005","0.65","0.61","0.69","2.94","1160","178015",
"Canada","Both sexes","'1+'","2006","0.56","0.56","0.56","0.27","140700","25162310",
"Canada","Both sexes","'1-19'","2006","0.37","0.37","0.38","0.68","21925","5878170",
"Canada","Both sexes","'1-4'","2006","0.19","0.18","0.20","2.20","2060","1102470",
"Canada","Both sexes","'5-9'","2006","0.38","0.37","0.39","1.36","5395","1434625",
"Canada","Both sexes","'10-14'","2006","0.43","0.42","0.45","1.19","7055","1622650",
"Canada","Both sexes","'15-19'","2006","0.43","0.42","0.44","1.16","7415","1718425",
"Canada","Both sexes","'20-34'","2006","0.52","0.51","0.53","0.61","26455","5097260",
"Canada","Both sexes","'20-24'","2006","0.50","0.49","0.51","1.08","8540","1719030",
"Canada","Both sexes","'25-29'","2006","0.53","0.51","0.54","1.07","8765","1668430",
"Canada","Both sexes","'30-34'","2006","0.53","0.52","0.55","1.05","9145","1709790",
"Canada","Both sexes","'35-49'","2006","0.61","0.61","0.62","0.52","36985","6036995",
"Canada","Both sexes","'35-39'","2006","0.56","0.55","0.57","0.98","10435","1863380",
"Canada","Both sexes","'40-44'","2006","0.62","0.61","0.63","0.88","12950","2080910",
"Canada","Both sexes","'45-49'","2006","0.65","0.64","0.66","0.86","13595","2092700",
"Canada","Both sexes","'50-64'","2006","0.65","0.65","0.66","0.57","30645","4691875",
"Canada","Both sexes","'50-54'","2006","0.67","0.65","0.68","0.90","12370","1857890",
"Canada","Both sexes","'55-59'","2006","0.65","0.64","0.66","0.98","10310","1589950",
"Canada","Both sexes","'60-64'","2006","0.64","0.63","0.65","1.12","7960","1244025",
"Canada","Both sexes","'65-79'","2006","0.69","0.68","0.70","0.77","16840","2440245",
"Canada","Both sexes","'65-69'","2006","0.65","0.63","0.66","1.27","6155","952035",
"Canada","Both sexes","'70-74'","2006","0.71","0.69","0.73","1.33","5675","800650",
"Canada","Both sexes","'75-79'","2006","0.73","0.71","0.75","1.41","5005","687545",
"Canada","Both sexes","'80+'","2006","0.77","0.75","0.79","1.13","7855","1017775",
"Canada","Both sexes","'80-84'","2006","0.79","0.77","0.82","1.56","4130","519995",
"Canada","Both sexes","'85-89'","2006","0.81","0.78","0.84","2.00","2510","310455",
"Canada","Both sexes","'90+'","2006","0.65","0.61","0.69","2.87","1215","187320",
"Canada","Both sexes","'1+'","2007","0.57","0.57","0.57","0.26","144550","25375620",
"Canada","Both sexes","'1-19'","2007","0.38","0.38","0.39","0.67","22460","5871500",
"Canada","Both sexes","'1-4'","2007","0.19","0.18","0.20","2.15","2165","1122910",
"Canada","Both sexes","'5-9'","2007","0.38","0.37","0.39","1.36","5420","1425230",
"Canada","Both sexes","'10-14'","2007","0.45","0.44","0.46","1.18","7160","1599875",
"Canada","Both sexes","'15-19'","2007","0.45","0.44","0.46","1.14","7710","1723480",
"Canada","Both sexes","'20-34'","2007","0.53","0.52","0.53","0.61","27160","5142305",
"Canada","Both sexes","'20-24'","2007","0.51","0.50","0.52","1.07","8740","1725870",
"Canada","Both sexes","'25-29'","2007","0.53","0.52","0.55","1.05","9120","1706525",
"Canada","Both sexes","'30-34'","2007","0.54","0.53","0.56","1.04","9305","1709915",
"Canada","Both sexes","'35-49'","2007","0.62","0.61","0.63","0.52","37080","5977495",
"Canada","Both sexes","'35-39'","2007","0.56","0.55","0.57","0.98","10420","1851195",
"Canada","Both sexes","'40-44'","2007","0.63","0.62","0.64","0.89","12665","2010205",
"Canada","Both sexes","'45-49'","2007","0.66","0.65","0.67","0.85","13990","2116090",
"Canada","Both sexes","'50-64'","2007","0.67","0.66","0.68","0.55","32530","4841040",
"Canada","Both sexes","'50-54'","2007","0.68","0.67","0.69","0.88","12970","1907725",
"Canada","Both sexes","'55-59'","2007","0.68","0.66","0.69","0.96","10870","1609600",
"Canada","Both sexes","'60-64'","2007","0.66","0.64","0.67","1.07","8695","1323715",
"Canada","Both sexes","'65-79'","2007","0.70","0.69","0.71","0.76","17400","2490625",
"Canada","Both sexes","'65-69'","2007","0.65","0.64","0.67","1.25","6450","987425",
"Canada","Both sexes","'70-74'","2007","0.71","0.69","0.73","1.32","5765","808255",
"Canada","Both sexes","'75-79'","2007","0.75","0.73","0.77","1.39","5185","694945",
"Canada","Both sexes","'80+'","2007","0.75","0.74","0.77","1.12","7920","1052655",
"Canada","Both sexes","'80-84'","2007","0.77","0.75","0.80","1.56","4090","529295",
"Canada","Both sexes","'85-89'","2007","0.80","0.77","0.83","1.95","2625","328555",
"Canada","Both sexes","'90+'","2007","0.62","0.58","0.65","2.89","1200","194805",
"Canada","Both sexes","'1+'","2008","0.58","0.58","0.58","0.26","151590","26210170",
"Canada","Both sexes","'1-19'","2008","0.39","0.38","0.39","0.66","23265","5990950",
"Canada","Both sexes","'1-4'","2008","0.19","0.18","0.20","2.12","2235","1167010",
"Canada","Both sexes","'5-9'","2008","0.39","0.38","0.40","1.33","5645","1452650",
"Canada","Both sexes","'10-14'","2008","0.45","0.44","0.46","1.17","7270","1608480",
"Canada","Both sexes","'15-19'","2008","0.46","0.45","0.47","1.11","8115","1762815",
"Canada","Both sexes","'20-34'","2008","0.54","0.53","0.54","0.59","28515","5327745",
"Canada","Both sexes","'20-24'","2008","0.52","0.51","0.53","1.04","9185","1777310",
"Canada","Both sexes","'25-29'","2008","0.54","0.53","0.55","1.02","9655","1788160",
"Canada","Both sexes","'30-34'","2008","0.55","0.54","0.56","1.02","9670","1762270",
"Canada","Both sexes","'35-49'","2008","0.63","0.62","0.63","0.51","38045","6074230",
"Canada","Both sexes","'35-39'","2008","0.57","0.56","0.58","0.97","10695","1879050",
"Canada","Both sexes","'40-44'","2008","0.63","0.62","0.64","0.89","12575","2001065",
"Canada","Both sexes","'45-49'","2008","0.67","0.66","0.68","0.82","14770","2194110",
"Canada","Both sexes","'50-64'","2008","0.69","0.68","0.69","0.53","35150","5124000",
"Canada","Both sexes","'50-54'","2008","0.69","0.67","0.70","0.85","13700","1999955",
"Canada","Both sexes","'55-59'","2008","0.70","0.68","0.71","0.92","11815","1696930",
"Canada","Both sexes","'60-64'","2008","0.67","0.66","0.69","1.02","9630","1427110",
"Canada","Both sexes","'65-79'","2008","0.71","0.70","0.72","0.74","18345","2597380",
"Canada","Both sexes","'65-69'","2008","0.66","0.65","0.68","1.20","6975","1053995",
"Canada","Both sexes","'70-74'","2008","0.70","0.69","0.72","1.30","5900","837780",
"Canada","Both sexes","'75-79'","2008","0.77","0.75","0.80","1.35","5465","705600",
"Canada","Both sexes","'80+'","2008","0.76","0.74","0.77","1.10","8280","1095880",
"Canada","Both sexes","'80-84'","2008","0.77","0.75","0.79","1.55","4185","543760",
"Canada","Both sexes","'85-89'","2008","0.79","0.76","0.82","1.90","2775","351260",
"Canada","Both sexes","'90+'","2008","0.66","0.62","0.69","2.75","1320","200855",
"Canada","Both sexes","'1+'","2009","0.58","0.58","0.59","0.25","155015","26545350",
"Canada","Both sexes","'1-19'","2009","0.40","0.39","0.40","0.65","23890","5986825",
"Canada","Both sexes","'1-4'","2009","0.20","0.19","0.21","2.06","2365","1191460",
"Canada","Both sexes","'5-9'","2009","0.40","0.39","0.41","1.32","5765","1452800",
"Canada","Both sexes","'10-14'","2009","0.47","0.46","0.48","1.16","7370","1582870",
"Canada","Both sexes","'15-19'","2009","0.48","0.47","0.49","1.09","8390","1759700",
"Canada","Both sexes","'20-34'","2009","0.54","0.54","0.55","0.58","29400","5410880",
"Canada","Both sexes","'20-24'","2009","0.52","0.51","0.53","1.03","9440","1801540",
"Canada","Both sexes","'25-29'","2009","0.55","0.53","0.56","1.00","9970","1828450",
"Canada","Both sexes","'30-34'","2009","0.56","0.55","0.57","1.00","9990","1780890",
"Canada","Both sexes","'35-49'","2009","0.62","0.62","0.63","0.51","37715","6049685",
"Canada","Both sexes","'35-39'","2009","0.57","0.56","0.58","0.97","10615","1870890",
"Canada","Both sexes","'40-44'","2009","0.61","0.60","0.62","0.91","12050","1966950",
"Canada","Both sexes","'45-49'","2009","0.68","0.67","0.69","0.82","15050","2211845",
"Canada","Both sexes","'50-64'","2009","0.69","0.69","0.70","0.52","36780","5304065",
"Canada","Both sexes","'50-54'","2009","0.69","0.68","0.70","0.84","14150","2045760",
"Canada","Both sexes","'55-59'","2009","0.70","0.69","0.71","0.90","12285","1756135",
"Canada","Both sexes","'60-64'","2009","0.69","0.68","0.70","0.98","10340","1502170",
"Canada","Both sexes","'65-79'","2009","0.70","0.69","0.71","0.73","18720","2665815",
"Canada","Both sexes","'65-69'","2009","0.67","0.65","0.68","1.17","7335","1097740",
"Canada","Both sexes","'70-74'","2009","0.69","0.67","0.71","1.30","5890","856525",
"Canada","Both sexes","'75-79'","2009","0.77","0.75","0.79","1.35","5490","711550",
"Canada","Both sexes","'80+'","2009","0.75","0.74","0.77","1.08","8515","1128080",
"Canada","Both sexes","'80-84'","2009","0.79","0.76","0.81","1.52","4335","551175",
"Canada","Both sexes","'85-89'","2009","0.77","0.74","0.80","1.89","2805","362880",
"Canada","Both sexes","'90+'","2009","0.64","0.61","0.68","2.70","1375","214025",
"Canada","Both sexes","'1+'","2010","0.59","0.59","0.59","0.25","158770","26971760",
"Canada","Both sexes","'1-19'","2010","0.41","0.40","0.41","0.64","24420","5998335",
"Canada","Both sexes","'1-4'","2010","0.20","0.19","0.21","2.04","2400","1210645",
"Canada","Both sexes","'5-9'","2010","0.40","0.39","0.41","1.30","5960","1473235",
"Canada","Both sexes","'10-14'","2010","0.47","0.46","0.49","1.16","7390","1558795",
"Canada","Both sexes","'15-19'","2010","0.49","0.48","0.50","1.07","8665","1755655",
"Canada","Both sexes","'20-34'","2010","0.55","0.54","0.55","0.58","30225","5525535",
"Canada","Both sexes","'20-24'","2010","0.53","0.52","0.54","1.01","9780","1831580",
"Canada","Both sexes","'25-29'","2010","0.55","0.54","0.56","0.99","10290","1875275",
"Canada","Both sexes","'30-34'","2010","0.56","0.55","0.57","0.99","10155","1818680",
"Canada","Both sexes","'35-49'","2010","0.62","0.62","0.63","0.52","37560","6037630",
"Canada","Both sexes","'35-39'","2010","0.57","0.56","0.58","0.97","10590","1864500",
"Canada","Both sexes","'40-44'","2010","0.61","0.60","0.62","0.91","12065","1973355",
"Canada","Both sexes","'45-49'","2010","0.68","0.67","0.69","0.82","14905","2199770",
"Canada","Both sexes","'50-64'","2010","0.70","0.69","0.70","0.51","38350","5501890",
"Canada","Both sexes","'50-54'","2010","0.69","0.68","0.71","0.83","14585","2100885",
"Canada","Both sexes","'55-59'","2010","0.71","0.69","0.72","0.88","12870","1823795",
"Canada","Both sexes","'60-64'","2010","0.69","0.68","0.70","0.96","10895","1577210",
"Canada","Both sexes","'65-79'","2010","0.71","0.70","0.72","0.72","19400","2741605",
"Canada","Both sexes","'65-69'","2010","0.68","0.67","0.70","1.13","7805","1141230",
"Canada","Both sexes","'70-74'","2010","0.69","0.67","0.71","1.28","6075","882320",
"Canada","Both sexes","'75-79'","2010","0.77","0.75","0.79","1.35","5520","718055",
"Canada","Both sexes","'80+'","2010","0.76","0.74","0.77","1.06","8820","1166765",
"Canada","Both sexes","'80-84'","2010","0.79","0.77","0.82","1.50","4455","562055",
"Canada","Both sexes","'85-89'","2010","0.76","0.74","0.79","1.87","2850","373405",
"Canada","Both sexes","'90+'","2010","0.65","0.62","0.69","2.57","1510","231305",
"Canada","Both sexes","'1+'","2011","0.60","0.59","0.60","0.25","163035","27375755",
"Canada","Both sexes","'1-19'","2011","0.42","0.41","0.42","0.63","25185","6008580",
"Canada","Both sexes","'1-4'","2011","0.21","0.20","0.22","1.98","2545","1222090",
"Canada","Both sexes","'5-9'","2011","0.41","0.40","0.43","1.27","6220","1499360",
"Canada","Both sexes","'10-14'","2011","0.48","0.47","0.49","1.16","7420","1545420",
"Canada","Both sexes","'15-19'","2011","0.52","0.51","0.53","1.05","8995","1741705",
"Canada","Both sexes","'20-34'","2011","0.55","0.55","0.56","0.57","31110","5636060",
"Canada","Both sexes","'20-24'","2011","0.54","0.53","0.55","1.00","10025","1859830",
"Canada","Both sexes","'25-29'","2011","0.56","0.55","0.57","0.97","10695","1911530",
"Canada","Both sexes","'30-34'","2011","0.56","0.55","0.57","0.98","10390","1864700",
"Canada","Both sexes","'35-49'","2011","0.62","0.61","0.63","0.52","37290","6019430",
"Canada","Both sexes","'35-39'","2011","0.57","0.56","0.58","0.97","10615","1868195",
