"Data Table: Epilepsy, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'1+'","2005","55","54","56","0.85","13715","24871590",
"Canada","Both sexes","'1-19'","2005","50","49","52","1.84","2960","5880525",
"Canada","Both sexes","'1-4'","2005","71","66","76","3.59","775","1088780",
"Canada","Both sexes","'5-9'","2005","52","48","55","3.66","745","1443575",
"Canada","Both sexes","'10-14'","2005","40","37","43","3.89","660","1641160",
"Canada","Both sexes","'15-19'","2005","46","43","49","3.58","780","1707005",
"Canada","Both sexes","'20-34'","2005","46","44","48","2.07","2325","5055450",
"Canada","Both sexes","'20-24'","2005","51","48","55","3.39","870","1698300",
"Canada","Both sexes","'25-29'","2005","44","41","47","3.73","720","1639150",
"Canada","Both sexes","'30-34'","2005","42","39","46","3.70","730","1717990",
"Canada","Both sexes","'35-49'","2005","48","47","50","1.85","2925","6058285",
"Canada","Both sexes","'35-39'","2005","45","42","49","3.43","850","1869555",
"Canada","Both sexes","'40-44'","2005","47","44","50","3.15","1005","2129405",
"Canada","Both sexes","'45-49'","2005","52","49","55","3.06","1065","2059325",
"Canada","Both sexes","'50-64'","2005","59","57","61","1.94","2655","4519630",
"Canada","Both sexes","'50-54'","2005","57","53","60","3.13","1020","1798700",
"Canada","Both sexes","'55-59'","2005","57","53","61","3.34","895","1570195",
"Canada","Both sexes","'60-64'","2005","64","60","69","3.68","740","1150740",
"Canada","Both sexes","'65-79'","2005","78","74","81","2.32","1855","2384195",
"Canada","Both sexes","'65-69'","2005","66","61","71","4.07","605","920315",
"Canada","Both sexes","'70-74'","2005","81","75","87","3.95","640","791595",
"Canada","Both sexes","'75-79'","2005","91","84","98","4.05","610","672285",
"Canada","Both sexes","'80+'","2005","103","97","110","3.15","1005","973515",
"Canada","Both sexes","'80-84'","2005","105","96","114","4.32","535","508840",
"Canada","Both sexes","'85-89'","2005","106","94","118","5.73","305","287955",
"Canada","Both sexes","'90+'","2005","96","82","112","7.67","170","176725",
"Canada","Both sexes","'1+'","2006","56","55","56","0.85","13885","25010755",
"Canada","Both sexes","'1-19'","2006","57","55","59","1.74","3320","5855690",
"Canada","Both sexes","'1-4'","2006","80","75","86","3.36","885","1101300",
