"Data Table: Chronic obstructive pulmonary disease, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'35+'","2000","1072","1067","1077","0.24","170245","15883455",
"Canada","Both sexes","'35-49'","2000","431","426","436","0.55","32835","7617575",
"Canada","Both sexes","'35-39'","2000","353","346","360","1.03","9410","2664845",
"Canada","Both sexes","'40-44'","2000","414","406","421","0.96","10865","2627470",
"Canada","Both sexes","'45-49'","2000","540","531","549","0.89","12555","2325255",
"Canada","Both sexes","'50-64'","2000","1027","1018","1036","0.45","48895","4760315",
"Canada","Both sexes","'50-54'","2000","751","739","763","0.81","15335","2041545",
"Canada","Both sexes","'55-59'","2000","1063","1047","1080","0.79","16220","1525795",
"Canada","Both sexes","'60-64'","2000","1454","1432","1476","0.76","17345","1192985",
"Canada","Both sexes","'65-79'","2000","2293","2275","2312","0.41","60720","2647785",
"Canada","Both sexes","'65-69'","2000","1904","1877","1930","0.71","19730","1036435",
"Canada","Both sexes","'70-74'","2000","2351","2319","2383","0.69","21135","899010",
"Canada","Both sexes","'75-79'","2000","2787","2748","2826","0.71","19850","712335",
"Canada","Both sexes","'80+'","2000","3239","3201","3278","0.60","27785","857770",
"Canada","Both sexes","'80-84'","2000","3149","3098","3202","0.84","14275","453250",
"Canada","Both sexes","'85-89'","2000","3382","3312","3454","1.06","8830","261055",
"Canada","Both sexes","'90+'","2000","3259","3166","3354","1.46","4675","143460",
"Canada","Both sexes","'35+'","2001","1002","997","1006","0.25","161415","16117140",
"Canada","Both sexes","'35-49'","2001","412","408","417","0.56","31625","7668105",
"Canada","Both sexes","'35-39'","2001","331","324","338","1.08","8635","2609005",
"Canada","Both sexes","'40-44'","2001","393","385","400","0.98","10470","2666135",
"Canada","Both sexes","'45-49'","2001","523","514","533","0.89","12525","2392965",
"Canada","Both sexes","'50-64'","2001","950","941","959","0.46","46745","4920660",
"Canada","Both sexes","'50-54'","2001","703","692","715","0.83","14500","2061125",
"Canada","Both sexes","'55-59'","2001","975","960","991","0.79","15910","1630980",
"Canada","Both sexes","'60-64'","2001","1330","1309","1350","0.78","16335","1228555",
"Canada","Both sexes","'65-79'","2001","2124","2107","2142","0.42","56130","2642265",
"Canada","Both sexes","'65-69'","2001","1746","1720","1771","0.75","17940","1027690",
"Canada","Both sexes","'70-74'","2001","2191","2160","2222","0.71","19795","903505",
"Canada","Both sexes","'75-79'","2001","2587","2550","2625","0.74","18395","711075",
"Canada","Both sexes","'80+'","2001","3038","3002","3074","0.61","26920","886120",
"Canada","Both sexes","'80-84'","2001","2897","2849","2946","0.85","13715","473345",
"Canada","Both sexes","'85-89'","2001","3266","3197","3335","1.08","8640","264565",
"Canada","Both sexes","'90+'","2001","3080","2991","3171","1.48","4565","148205",
"Canada","Both sexes","'35+'","2002","908","903","913","0.26","148430","16346765",
"Canada","Both sexes","'35-49'","2002","374","370","378","0.59","28755","7689520",
"Canada","Both sexes","'35-39'","2002","302","295","309","1.14","7640","2530270",
