"Data Table: Asthma, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'1+'","2000","915","912","919","0.19","265845","29050725",
"Canada","Both sexes","'1-19'","2000","1632","1622","1642","0.30","112660","6903280",
"Canada","Both sexes","'1-4'","2000","3642","3609","3674","0.45","48555","1333280",
"Canada","Both sexes","'5-9'","2000","1593","1574","1612","0.60","28085","1762970",
"Canada","Both sexes","'10-14'","2000","1132","1117","1147","0.69","21225","1875035",
"Canada","Both sexes","'15-19'","2000","766","753","778","0.82","14790","1931995",
"Canada","Both sexes","'20-34'","2000","666","659","672","0.50","40640","6103170",
"Canada","Both sexes","'20-24'","2000","673","662","685","0.87","13150","1952570",
"Canada","Both sexes","'25-29'","2000","674","663","686","0.87","13350","1980785",
"Canada","Both sexes","'30-34'","2000","652","641","663","0.84","14140","2169810",
"Canada","Both sexes","'35-49'","2000","634","628","639","0.46","47115","7436090",
"Canada","Both sexes","'35-39'","2000","663","653","673","0.77","17055","2574215",
"Canada","Both sexes","'40-44'","2000","623","613","633","0.79","16025","2571820",
"Canada","Both sexes","'45-49'","2000","613","603","623","0.84","14035","2290055",
"Canada","Both sexes","'50-64'","2000","688","680","695","0.55","32930","4788920",
"Canada","Both sexes","'50-54'","2000","635","624","646","0.88","12880","2027690",
"Canada","Both sexes","'55-59'","2000","706","692","719","0.96","10845","1537160",
"Canada","Both sexes","'60-64'","2000","752","737","768","1.04","9205","1224070",
"Canada","Both sexes","'65-79'","2000","859","848","870","0.64","24450","2845885",
"Canada","Both sexes","'65-69'","2000","812","795","829","1.06","8840","1088500",
"Canada","Both sexes","'70-74'","2000","862","844","881","1.09","8355","969195",
"Canada","Both sexes","'75-79'","2000","921","900","943","1.17","7260","788195",
"Canada","Both sexes","'80+'","2000","827","809","845","1.11","8045","973370",
"Canada","Both sexes","'80-84'","2000","889","864","916","1.48","4555","512180",
"Canada","Both sexes","'85-89'","2000","828","795","861","2.01","2470","298415",
"Canada","Both sexes","'90+'","2000","624","586","663","3.14","1015","162770",
