"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"
"Area","Sex","Age Group","Year","Rate (per 100,000)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20+'","2000","991","987","995","0.21","217330","21924990",
"Canada","Both sexes","'20-34'","2000","42","40","44","1.93","2680","6386715",
"Canada","Both sexes","'20-24'","2000","23","21","25","4.59","475","2057630",
"Canada","Both sexes","'25-29'","2000","36","33","39","3.66","745","2070520",
"Canada","Both sexes","'30-34'","2000","65","62","68","2.61","1465","2258570",
"Canada","Both sexes","'35-49'","2000","307","303","311","0.65","23550","7663080",
"Canada","Both sexes","'35-39'","2000","138","134","143","1.65","3690","2672840",
"Canada","Both sexes","'40-44'","2000","286","279","292","1.15","7585","2653200",
"Canada","Both sexes","'45-49'","2000","525","516","535","0.90","12280","2337045",
"Canada","Both sexes","'50-64'","2000","1349","1338","1359","0.40","63110","4678935",
"Canada","Both sexes","'50-54'","2000","931","918","944","0.73","18895","2029865",
"Canada","Both sexes","'55-59'","2000","1405","1386","1424","0.69","21025","1496930",
"Canada","Both sexes","'60-64'","2000","2013","1987","2039","0.66","23190","1152140",
"Canada","Both sexes","'65-79'","2000","3501","3477","3524","0.34","85940","2455030",
"Canada","Both sexes","'65-69'","2000","2743","2710","2776","0.61","26920","981510",
"Canada","Both sexes","'70-74'","2000","3594","3553","3635","0.58","29915","832430",
"Canada","Both sexes","'75-79'","2000","4541","4489","4593","0.59","29110","641095",
"Canada","Both sexes","'80+'","2000","5672","5618","5726","0.49","42040","741230",
"Canada","Both sexes","'80-84'","2000","5324","5252","5396","0.69","21105","396445",
"Canada","Both sexes","'85-89'","2000","6116","6014","6220","0.86","13635","222930",
"Canada","Both sexes","'90+'","2000","5991","5854","6130","1.17","7300","121855",
"Canada","Both sexes","'20+'","2001","921","917","925","0.22","204185","22159065",
"Canada","Both sexes","'20-34'","2001","46","45","48","1.83","2980","6412220",
"Canada","Both sexes","'20-24'","2001","27","24","29","4.24","555","2087035",
"Canada","Both sexes","'25-29'","2001","39","36","42","3.52","805","2076275",
"Canada","Both sexes","'30-34'","2001","72","69","76","2.48","1625","2248915",
"Canada","Both sexes","'35-49'","2001","295","291","299","0.66","22755","7720370",
"Canada","Both sexes","'35-39'","2001","132","128","136","1.70","3450","2615625",
"Canada","Both sexes","'40-44'","2001","272","266","279","1.17","7340","2695600",
"Canada","Both sexes","'45-49'","2001","496","488","505","0.91","11960","2409145",
"Canada","Both sexes","'50-64'","2001","1253","1243","1263","0.41","60605","4836970",
"Canada","Both sexes","'50-54'","2001","859","847","872","0.75","17635","2051785",
"Canada","Both sexes","'55-59'","2001","1308","1290","1326","0.69","20930","1600120",
"Canada","Both sexes","'60-64'","2001","1860","1835","1885","0.67","22040","1185065",
"Canada","Both sexes","'65-79'","2001","3195","3172","3217","0.36","77780","2434695",
"Canada","Both sexes","'65-69'","2001","2517","2485","2548","0.64","24400","969530",
"Canada","Both sexes","'70-74'","2001","3268","3230","3308","0.61","27180","831575",
