Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
30720869,481300,1566,Canada,Both sexes,20+
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
544528,1000,183,British Columbia,Females,20-34
1117061,2120,189,British Columbia,Both sexes,20-34
572533,1125,196,British Columbia,Males,20-34
19990,40,200,Prince Edward Island,Males,20-34
458555,925,201,Alberta,Females,20-34
942720,1915,203,Alberta,Both sexes,20-34
484165,990,204,Alberta,Males,20-34
778782,1635,209,Quebec,Females,20-34
37287,80,214,Prince Edward Island,Both sexes,20-34
1616324,3705,229,Quebec,Both sexes,20-34
1588099,3640,229,Ontario,Females,20-34
17297,40,231,Prince Edward Island,Females,20-34
303910,710,233,Manitoba,Both sexes,20-34
145833,340,233,Manitoba,Females,20-34
158077,370,234,Manitoba,Males,20-34
837542,2065,246,Quebec,Males,20-34
113143,280,247,Saskatchewan,Females,20-34
234864,600,255,Saskatchewan,Both sexes,20-34
3286960,8420,256,Ontario,Both sexes,20-34
121721,320,262,Saskatchewan,Males,20-34
1698861,4780,281,Ontario,Males,20-34
105846,435,410,Nova Scotia,Males,20-34
74974,325,433,New Brunswick,Males,20-34
205854,895,434,Nova Scotia,Both sexes,20-34
144651,655,452,New Brunswick,Both sexes,20-34
100008,460,459,Nova Scotia,Females,20-34
69677,335,480,New Brunswick,Females,20-34
499453,4755,952,Alberta,Females,35-49
1009223,9625,953,Alberta,Both sexes,35-49
509770,4875,956,Alberta,Males,35-49
525847,5460,1038,British Columbia,Males,35-49
1061289,11170,1052,British Columbia,Both sexes,35-49
535442,5710,1066,British Columbia,Females,35-49
840671,10445,1242,Quebec,Females,35-49
122606,1525,1243,Saskatchewan,Males,35-49
1712345,21730,1269,Quebec,Both sexes,35-49
241211,3115,1291,Saskatchewan,Both sexes,35-49
871674,11285,1294,Quebec,Males,35-49
137066,1825,1331,Manitoba,Males,35-49
1481020,19760,1334,Ontario,Females,35-49
118605,1595,1344,Saskatchewan,Females,35-49
272754,3720,1363,Manitoba,Both sexes,35-49
135688,1895,1396,Manitoba,Females,35-49
2915952,41530,1424,Ontario,Both sexes,35-49
1434932,21775,1517,Ontario,Males,35-49
30215,515,1704,Prince Edward Island,Both sexes,35-49
15468,265,1713,Prince Edward Island,Females,35-49
14747,255,1729,Prince Edward Island,Males,35-49
412439,7510,1820,Alberta,Males,50-64
821334,14985,1824,Alberta,Both sexes,50-64
408895,7470,1826,Alberta,Females,50-64
555157,10610,1911,British Columbia,Females,50-64
74622,1450,1943,New Brunswick,Males,35-49
1077882,20995,1947,British Columbia,Both sexes,50-64
522725,10390,1987,British Columbia,Males,50-64
149528,3025,2023,New Brunswick,Both sexes,35-49
88904,1845,2075,Nova Scotia,Males,35-49
183851,3845,2091,Nova Scotia,Both sexes,35-49
94947,1995,2101,Nova Scotia,Females,35-49
74906,1575,2102,New Brunswick,Females,35-49
1474914,32475,2201,Ontario,Males,50-64
2994865,66120,2207,Ontario,Both sexes,50-64
1519951,33640,2213,Ontario,Females,50-64
107226,2440,2275,Saskatchewan,Males,50-64
124093,2875,2316,Manitoba,Males,50-64
253621,5925,2336,Alberta,Males,65-79
885345,20775,2346,Quebec,Males,50-64
524222,12345,2354,Alberta,Both sexes,65-79
250984,5930,2362,Manitoba,Both sexes,50-64
270601,6420,2372,Alberta,Females,65-79
211770,5050,2384,Saskatchewan,Both sexes,50-64
386129,9255,2396,British Columbia,Males,65-79
126891,3060,2411,Manitoba,Females,50-64
82312,1995,2423,Nova Scotia,Males,65-79
809808,19710,2433,British Columbia,Both sexes,65-79
423679,10455,2467,British Columbia,Females,65-79
1765123,43625,2471,Quebec,Both sexes,50-64
104544,2605,2491,Saskatchewan,Females,50-64
172737,4335,2509,Nova Scotia,Both sexes,65-79
68843,1755,2549,New Brunswick,Males,65-79
17434,445,2552,Prince Edward Island,Females,50-64
12884,330,2561,Prince Edward Island,Males,65-79
16541,425,2569,Prince Edward Island,Males,50-64
33975,875,2575,Prince Edward Island,Both sexes,50-64
90425,2345,2593,Nova Scotia,Females,65-79
879778,22855,2597,Quebec,Females,50-64
26985,705,2612,Prince Edward Island,Both sexes,65-79
664906,17395,2616,Quebec,Males,65-79
979784,25770,2630,Ontario,Males,65-79
14101,375,2659,Prince Edward Island,Females,65-79
89372,2425,2713,New Brunswick,Females,50-64
177753,4850,2728,New Brunswick,Both sexes,50-64
88381,2425,2743,New Brunswick,Males,50-64
2081884,57180,2746,Ontario,Both sexes,65-79
142834,3980,2786,New Brunswick,Both sexes,65-79
106033,2990,2819,Nova Scotia,Males,50-64
217500,6135,2820,Nova Scotia,Both sexes,50-64
111467,3145,2821,Nova Scotia,Females,50-64
85469,2415,2825,Manitoba,Males,65-79
1102100,31405,2849,Ontario,Females,65-79
1370506,39165,2857,Quebec,Both sexes,65-79
73991,2220,3000,New Brunswick,Females,65-79
177617,5480,3085,Manitoba,Both sexes,65-79
705600,21775,3086,Quebec,Females,65-79
75030,2340,3118,Saskatchewan,Males,65-79
92148,3070,3331,Manitoba,Females,65-79
152565,5095,3339,Saskatchewan,Both sexes,65-79
77535,2755,3553,Saskatchewan,Females,65-79
