Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
34972746,17165,49,Canada,Both sexes,10+
0,0,0,Newfoundland and Labrador,Both sexes,10-19
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,10-19
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,10-19
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Both sexes,10-19
0,0,0,Prince Edward Island,Both sexes,20-34
0,0,0,Prince Edward Island,Males,10-19
0,0,0,Prince Edward Island,Males,20-34
0,0,0,Prince Edward Island,Males,50-64
0,0,0,Prince Edward Island,Males,65-79
0,0,0,Prince Edward Island,Females,10-19
0,0,0,Prince Edward Island,Females,20-34
0,0,0,Prince Edward Island,Females,35-49
0,0,0,Prince Edward Island,Females,65-79
0,0,0,Nova Scotia,Females,10-19
0,0,0,New Brunswick,Females,10-19
0,0,0,Manitoba,Females,10-19
0,0,0,Yukon Territory,Both sexes,10-19
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,10-19
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,10-19
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,10-19
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,10-19
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,10-19
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
446478,60,13,Quebec,Females,10-19
271388,45,16,Alberta,Females,10-19
83846,15,17,New Brunswick,Both sexes,10-19
809284,150,18,Ontario,Females,10-19
174970,35,20,Manitoba,Both sexes,10-19
88381,20,22,New Brunswick,Males,50-64
42520,10,23,New Brunswick,Males,10-19
100718,25,24,Nova Scotia,Both sexes,10-19
75030,20,26,Saskatchewan,Males,65-79
74832,20,26,Saskatchewan,Females,10-19
73991,20,27,New Brunswick,Females,65-79
145833,40,27,Manitoba,Females,20-34
412439,115,27,Alberta,Males,50-64
253621,70,27,Alberta,Males,65-79
106033,30,28,Nova Scotia,Males,50-64
69677,20,28,New Brunswick,Females,20-34
909585,260,28,Quebec,Both sexes,10-19
979784,280,28,Ontario,Males,65-79
88608,25,28,Manitoba,Males,10-19
555347,160,28,Alberta,Both sexes,10-19
1653690,490,29,Ontario,Both sexes,10-19
