Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
77846319,163305,209,Canada,Both sexes,1+
0,0,0,Newfoundland and Labrador,Both sexes,1-19
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,1-19
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,1-19
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Females,1-19
0,0,0,Nova Scotia,Both sexes,1-19
0,0,0,Nova Scotia,Males,1-19
0,0,0,Nova Scotia,Females,1-19
0,0,0,Yukon Territory,Both sexes,1-19
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,1-19
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,1-19
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,1-19
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,1-19
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,1-19
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
915032,255,27,Quebec,Males,1-19
1791646,535,29,Quebec,Both sexes,1-19
560833,165,29,Alberta,Males,1-19
149198,45,30,Saskatchewan,Females,1-19
1097321,345,31,Alberta,Both sexes,1-19
876614,285,32,Quebec,Females,1-19
536488,180,33,Alberta,Females,1-19
304312,110,36,Saskatchewan,Both sexes,1-19
1004630,380,37,British Columbia,Both sexes,1-19
514260,195,37,British Columbia,Males,1-19
490370,185,37,British Columbia,Females,1-19
155114,60,38,Saskatchewan,Males,1-19
76479,30,39,New Brunswick,Females,1-19
3137397,1230,39,Ontario,Both sexes,1-19
1604109,635,39,Ontario,Males,1-19
1533288,600,39,Ontario,Females,1-19
176849,70,39,Manitoba,Males,1-19
347203,140,40,Manitoba,Both sexes,1-19
170354,70,41,Manitoba,Females,1-19
156047,80,51,New Brunswick,Both sexes,1-19
79568,50,62,New Brunswick,Males,1-19
34547,25,72,Prince Edward Island,Both sexes,1-19
837542,635,75,Quebec,Males,20-34
484165,380,78,Alberta,Males,20-34
37287,30,80,Prince Edward Island,Both sexes,20-34
1616324,1295,80,Quebec,Both sexes,20-34
942720,775,82,Alberta,Both sexes,20-34
572533,470,82,British Columbia,Males,20-34
778782,660,84,Quebec,Females,20-34
17297,15,86,Prince Edward Island,Females,20-34
458555,395,86,Alberta,Females,20-34
1117061,975,87,British Columbia,Both sexes,20-34
1698861,1580,93,Ontario,Males,20-34
544528,510,93,British Columbia,Females,20-34
158077,155,98,Manitoba,Males,20-34
19990,20,100,Prince Edward Island,Males,20-34
121721,135,110,Saskatchewan,Males,20-34
17637,20,113,Prince Edward Island,Males,1-19
3286960,3805,115,Ontario,Both sexes,20-34
74974,90,120,New Brunswick,Males,20-34
303910,365,120,Manitoba,Both sexes,20-34
105846,135,127,Nova Scotia,Males,20-34
144651,185,127,New Brunswick,Both sexes,20-34
205854,265,128,Nova Scotia,Both sexes,20-34
100008,130,129,Nova Scotia,Females,20-34
234864,305,129,Saskatchewan,Both sexes,20-34
1588099,2230,140,Ontario,Females,20-34
69677,100,143,New Brunswick,Females,20-34
145833,210,144,Manitoba,Females,20-34
113143,170,150,Saskatchewan,Females,20-34
499453,1275,255,Alberta,Females,35-49
1009223,2960,293,Alberta,Both sexes,35-49
840671,2600,309,Quebec,Females,35-49
535442,1750,326,British Columbia,Females,35-49
509770,1685,330,Alberta,Males,35-49
1712345,6065,354,Quebec,Both sexes,35-49
118605,435,366,Saskatchewan,Females,35-49
1061289,3980,375,British Columbia,Both sexes,35-49
15468,60,387,Prince Edward Island,Females,35-49
241211,945,391,Saskatchewan,Both sexes,35-49
871674,3465,397,Quebec,Males,35-49
122606,510,415,Saskatchewan,Males,35-49
525847,2230,424,British Columbia,Males,35-49
1481020,6505,439,Ontario,Females,35-49
30215,140,463,Prince Edward Island,Both sexes,35-49
408895,2010,491,Alberta,Females,50-64
2915952,14375,492,Ontario,Both sexes,35-49
135688,680,501,Manitoba,Females,35-49
272754,1380,505,Manitoba,Both sexes,35-49
74906,380,507,New Brunswick,Females,35-49
137066,705,514,Manitoba,Males,35-49
14747,80,542,Prince Edward Island,Males,35-49
94947,520,547,Nova Scotia,Females,35-49
1434932,7875,548,Ontario,Males,35-49
149528,860,575,New Brunswick,Both sexes,35-49
555157,3240,583,British Columbia,Females,50-64
183851,1095,595,Nova Scotia,Both sexes,35-49
821334,4975,605,Alberta,Both sexes,50-64
879778,5500,625,Quebec,Females,50-64
104544,655,626,Saskatchewan,Females,50-64
1519951,9550,628,Ontario,Females,50-64
74622,480,643,New Brunswick,Males,35-49
88904,580,652,Nova Scotia,Males,35-49
17434,115,659,Prince Edward Island,Females,50-64
270601,1890,698,Alberta,Females,65-79
14101,100,709,Prince Edward Island,Females,65-79
423679,3015,711,British Columbia,Females,65-79
1077882,7705,714,British Columbia,Both sexes,50-64
412439,2965,718,Alberta,Males,50-64
211770,1545,729,Saskatchewan,Both sexes,50-64
2994865,22170,740,Ontario,Both sexes,50-64
26985,200,741,Prince Edward Island,Both sexes,65-79
126891,960,756,Manitoba,Females,50-64
12884,100,776,Prince Edward Island,Males,65-79
1765123,13730,777,Quebec,Both sexes,50-64
89372,700,783,New Brunswick,Females,50-64
524222,4140,789,Alberta,Both sexes,65-79
33975,275,809,Prince Edward Island,Both sexes,50-64
809808,6610,816,British Columbia,Both sexes,65-79
1102100,9165,831,Ontario,Females,65-79
107226,895,834,Saskatchewan,Males,50-64
111467,935,838,Nova Scotia,Females,50-64
522725,4465,854,British Columbia,Males,50-64
1474914,12620,855,Ontario,Males,50-64
250984,2210,880,Manitoba,Both sexes,50-64
90425,800,884,Nova Scotia,Females,65-79
253621,2245,885,Alberta,Males,65-79
77535,695,896,Saskatchewan,Females,65-79
705600,6385,904,Quebec,Females,65-79
73991,670,905,New Brunswick,Females,65-79
2081884,19015,913,Ontario,Both sexes,65-79
885345,8230,929,Quebec,Males,50-64
386129,3595,931,British Columbia,Males,65-79
177753,1665,936,New Brunswick,Both sexes,50-64
1370506,12935,943,Quebec,Both sexes,65-79
172737,1645,952,Nova Scotia,Both sexes,65-79
142834,1370,959,New Brunswick,Both sexes,65-79
16541,160,967,Prince Edward Island,Males,50-64
664906,6545,984,Quebec,Males,65-79
92148,920,998,Manitoba,Females,65-79
