Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
30720869,316155,1029,Canada,Both sexes,20+
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Females,20-34
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
778782,180,23,Quebec,Females,20-34
69677,20,28,New Brunswick,Females,20-34
1588099,450,28,Ontario,Females,20-34
100008,30,29,Nova Scotia,Females,20-34
113143,40,35,Saskatchewan,Females,20-34
145833,55,37,Manitoba,Females,20-34
458555,185,40,Alberta,Females,20-34
544528,220,40,British Columbia,Females,20-34
1616324,810,50,Quebec,Both sexes,20-34
37287,25,67,Prince Edward Island,Both sexes,20-34
840671,580,68,Quebec,Females,35-49
837542,635,75,Quebec,Males,20-34
205854,185,89,Nova Scotia,Both sexes,20-34
19990,20,100,Prince Edward Island,Males,20-34
3286960,3365,102,Ontario,Both sexes,20-34
9667,10,103,Nunavut,Both sexes,20-34
1481020,1675,113,Ontario,Females,35-49
74906,95,126,New Brunswick,Females,35-49
15468,20,129,Prince Edward Island,Females,35-49
144651,190,131,New Brunswick,Both sexes,20-34
1117061,1465,131,British Columbia,Both sexes,20-34
499453,670,134,Alberta,Females,35-49
105846,160,151,Nova Scotia,Males,20-34
535442,830,155,British Columbia,Females,35-49
135688,215,158,Manitoba,Females,35-49
