Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
77846319,13715,17,Canada,Both sexes,1+
0,0,0,Newfoundland and Labrador,Both sexes,1-19
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,1-19
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,1-19
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Males,1-19
0,0,0,Prince Edward Island,Males,20-34
0,0,0,Prince Edward Island,Males,50-64
0,0,0,Prince Edward Island,Males,65-79
0,0,0,Prince Edward Island,Females,1-19
0,0,0,Prince Edward Island,Females,20-34
0,0,0,Prince Edward Island,Females,35-49
0,0,0,Prince Edward Island,Females,50-64
0,0,0,Prince Edward Island,Females,65-79
0,0,0,Quebec,Both sexes,1-19
0,0,0,Quebec,Both sexes,20-34
0,0,0,Quebec,Both sexes,35-49
0,0,0,Quebec,Both sexes,50-64
0,0,0,Quebec,Both sexes,65-79
0,0,0,Quebec,Males,1-19
0,0,0,Quebec,Males,20-34
0,0,0,Quebec,Males,35-49
0,0,0,Quebec,Males,50-64
0,0,0,Quebec,Males,65-79
0,0,0,Quebec,Females,1-19
0,0,0,Quebec,Females,20-34
0,0,0,Quebec,Females,35-49
0,0,0,Quebec,Females,50-64
0,0,0,Quebec,Females,65-79
0,0,0,Yukon Territory,Both sexes,1-19
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,1-19
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,1-19
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,1-19
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,1-19
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
176849,35,19,Manitoba,Males,1-19
347203,70,20,Manitoba,Both sexes,1-19
155114,35,22,Saskatchewan,Males,1-19
105846,25,23,Nova Scotia,Males,20-34
170354,40,23,Manitoba,Females,1-19
304312,70,23,Saskatchewan,Both sexes,1-19
149198,35,23,Saskatchewan,Females,1-19
37287,10,26,Prince Edward Island,Both sexes,20-34
111467,30,26,Nova Scotia,Females,50-64
73991,20,27,New Brunswick,Females,65-79
572533,170,29,British Columbia,Males,20-34
423679,130,30,British Columbia,Females,65-79
205854,65,31,Nova Scotia,Both sexes,20-34
92476,30,32,Nova Scotia,Females,1-19
1117061,360,32,British Columbia,Both sexes,20-34
90425,30,33,Nova Scotia,Females,65-79
1698861,570,33,Ontario,Males,20-34
118605,40,33,Saskatchewan,Females,35-49
544528,185,33,British Columbia,Females,20-34
172737,60,34,Nova Scotia,Both sexes,65-79
3286960,1140,34,Ontario,Both sexes,20-34
145833,50,34,Manitoba,Females,20-34
189793,70,36,Nova Scotia,Both sexes,1-19
